Position,Title,Link,Place ID,Address,City,State,Phone,Rating,Reviews,Latitude,Longitude,Estado
2,Universal Celular,http://wa.me/5582996520032,ChIJGb55UYRRAQcRYYJNZDfxr5M,"Rua Alípio Barbosa da Silva, n° 202-A - Pontal da Barra, Maceió - AL, 57010-810",N/A,N/A,+55 82 99652-0032,5,5,-9.6942488,-35.7788397,alagoas
4,Telacell Varejo E Atacadista,,ChIJEd0VFH5FAQcRC6zj22UbAP0,"R. Joaquim Távora, 316-430 - Centro, Maceió - AL, 57020-320",N/A,N/A,+55 82 98882-2763,4.1,67,-9.663675399999999,-35.7395965,alagoas
6,Thiago Cell,,ChIJzRhSS4dPAQcRP5rywWmKbkc,"Rua do Livramento, 468 - Centro, Maceió - AL, 57020-030",N/A,N/A,+55 82 98865-7400,3.9,916,-9.6644574,-35.7417021,alagoas
7,UP7Phone - Assistência Técnica Especializada em Conserto de Celulares em Maceió,,ChIJmdN69gxFAQcRxVPQOjWyY0A,"Galeria Branca - R. Dr. Lessa de Azevedo, 597 - C - Loja 4 - Pajuçara, Maceió - AL, 57030-180",N/A,N/A,+55 82 99826-9909,4.9,161,-9.6688934,-35.7159663,alagoas
8,Guedes Celular,,ChIJdYhs9JxPAQcRU6ciirkIdMs,"R. Paissandu, 389 - Ponta Grossa, Maceió - AL, 57014-340",N/A,N/A,+55 82 98823-6688,4.9,9,-9.6615253,-35.754072,alagoas
9,MaxPhoneStore,,ChIJyZ8ENO9FAQcRxeZLwFsoisg,"Av. Dr. Júlio Marques Luz, 506-A - Jatiúca, Maceió - AL, 57035-700",N/A,N/A,+55 82 3022-5410,4.9,62,-9.6531982,-35.7036508,alagoas
10,Casa do Celular - Maceió AL,http://www.casadocelular.com.br/,ChIJtw0Vm19FAQcRf9_fmDYo2z0,"Rua do Livramento, 188 - Centro, Maceió - AL, 57020-030",N/A,N/A,+55 82 98743-3787,3.2,65,-9.6646222,-35.7394417,alagoas
11,Smartcell Mobile,https://instagram.com/smartcell_mobile?igshid=YmMyMTA2M2Y=,ChIJnyxgY29FAQcRoi4OpsLTKvI,"Av. Moreira Lima, 184 - Centro, Maceió - AL, 57020-220",N/A,N/A,+55 82 99106-5546,4.6,9,-9.6633739,-35.738760899999996,alagoas
12,Tecmobile Cell,https://instagram.com/tecmobilecell?igshid=YmMyMTA2M2Y=,ChIJN3G_-RhFAQcRJ9o5A9jw_88,"Av. Dr. Antônio Gomes de Barros, 173 - Jatiúca, Maceió - AL, 57036-220",N/A,N/A,+55 82 99946-1566,4.4,14,-9.651035199999999,-35.7021622,alagoas
13,Jó Cell,,ChIJNTYptYBPAQcRBASg_rZh0G0,"Shopping Popular Nossa Senhora de Fátima, Box 03, Próximo ao Teatro Deodoro, R. Barão de Maceió, S/N - Centro, Maceió - AL, 57020-360",N/A,N/A,+55 82 98814-0388,4.6,7,-9.6642158,-35.7415977,alagoas
14,Centro Cell - Maceió,https://contate.me/centrocell-maceio,ChIJu-dEzmZFAQcR4OwNV61wEVw,"R. do Comércio, 426 - Centro, Maceió - AL, 57020-000",N/A,N/A,+55 82 98109-6066,3.3,32,-9.6629401,-35.7377378,alagoas
15,Junior Celular E Acessórios,https://instagram.com/juniorcel.maceio?igshid=YmMyMTA2M2Y=,ChIJHfxqOXxFAQcRYcx4lQBkuTs,"n°84, R. do Comércio - Centro, Maceió - AL, 57020-000",N/A,N/A,+55 82 99626-0286,4.4,24,-9.6658455,-35.7370294,alagoas
16,Professor Smartphones,,ChIJ1yI3SOFFAQcRajRb-sMwCq8,"R. Gonçalves Dias, 268 - Loja - Farol, Maceió - AL, 57051-330",N/A,N/A,+55 82 99333-7555,4.9,10,-9.6553133,-35.7334633,alagoas
17,Jorge Smartphone assistência,,ChIJFTG7iH5FAQcRvWqQC-pY_N0,"Rua do Livramento, 468 - Centro, Maceió - AL, 57020-030",N/A,N/A,+55 82 98804-8444,4.4,83,-9.6643335,-35.741809599999996,alagoas
18,Sidney Celular,,ChIJteG-N4dPAQcR4ouSt8jCl_k,"R. Dias Cabral, 24 - Centro, Maceió - AL, 57020-250",N/A,N/A,+55 82 98863-3445,5,7,-9.6647717,-35.7421647,alagoas
2,DANNI ELETRONICOS E ACESSORIOS,,ChIJk9dCkOtFAQcRLA7w-XbKV54,"R. João Farias Lôbo - Jacintinho, Maceió - AL, 57041-520",N/A,N/A,+55 82 98866-1818,4.1,8,-9.636794199999999,-35.7185347,alagoas
3,Vega Cell,,ChIJ3wgASIFPAQcRkOfN2chpJBo,"R. Dezesseis de Setembro, 198 - Levada, Maceió - AL, 57017-020",N/A,N/A,+55 82 99905-0154,4,1,-9.6633392,-35.7448518,alagoas
4,Brandão cell,,ChIJo0uXdyhPAQcRxL5yhcYKV5E,"R. Barão de Alagoas, 485c - Centro, Maceió - AL, 57020-360",N/A,N/A,+55 82 98839-5305,5,6,-9.664043,-35.741464,alagoas
6,Alessandro Cell,https://instagram.com/alessandro__cell?igshid=YmMyMTA2M2Y=,ChIJ9_3CJFZPAQcR4I_sjqE6xVU,"Rua Cabo Reis n°20A - Ponta Grossa, Maceió - AL, 57014-260",N/A,N/A,+55 82 99621-3507,5,3,-9.6647307,-35.757759,alagoas
7,C.E. Cell celular e acessórios informática,https://instagram.com/c.e_cell_oficial?igshid=wxxkyv8sjl8,ChIJ0Rm0M71FAQcRrJ2-ak_4Osc,"loja 07 - galeria edifício breda, R. Joáo Severiano, 42 - Centro, Maceió - AL, 57020-170",N/A,N/A,+55 82 98140-2760,4.6,11,-9.6654714,-35.7382355,alagoas
8,M2 store,,ChIJ1VTzWg9PAQcR6J3yl3Jxh4o,"Conjunto Joaquim leao Q 11 N 37, Maceió - AL, 57014-510",N/A,N/A,+55 82 99322-9950,,,-9.6585231,-35.760217,alagoas
12,Brenno Cell,,ChIJYx9D-jhFAQcRBzGF-H-Tr3w,"R. Barão de Anadia, 67 - Centro, Maceió - AL, 57020-630",N/A,N/A,+55 82 98803-9513,4.8,16,-9.6681565,-35.7365383,alagoas
15,All Cell Celular,,ChIJeZJd4QtFAQcR6inRoR3pbD8,"Condomínio Shopping Pajucara - R. Jangadeiros Alagoanos, 619 - Pajuçara, Maceió - AL, 57030-000",N/A,N/A,+55 82 3327-7580,3,2,-9.6687455,-35.7157772,alagoas
16,Gêmeos cell,,ChIJsQg_xbpFAQcR9syMEAPfpkI,"Centro, Maceió - AL, 57020-670",N/A,N/A,,,,-9.6660553,-35.7351545,alagoas
17,Bello Cell Consertos & Acessórios,https://instagram.com/bello_celloficial?igshid=YmMyMTA2M2Y=,ChIJjb4uuZVFAQcRgn8u_j-lcqg,"Tv. São Vicente, 188A - Jacintinho, Maceió - AL, 57040-455",N/A,N/A,+55 82 98854-2103,4.8,17,-9.6409218,-35.7175586,alagoas
18,Bruno Cell & Informática,https://meulink.com.vc/bruno-cell-informatica/,ChIJk-2jKpVFAQcRXmAmT7ZZ5p8,"R. Agerson Dantas, 19 - Centro, Maceió - AL, 57020-000",N/A,N/A,+55 82 98714-0967,3.8,33,-9.664454,-35.7395983,alagoas
19,"MB Cell Store - Assistência Técnica, Venda de Celular e Acessórios",,ChIJqZa7yh5FAQcRDsD8aXZBWDo,"R. Cleto Campelo, 31 - Jacintinho, Maceió - AL, 57041-000",N/A,N/A,+55 82 99975-6451,5,1,-9.642155899999999,-35.7182958,alagoas
3,Casa do Celular - Maceió Shopping,http://www.casadocelular.com.br/,ChIJt9jHWm9FAQcRESywWJwWp2A,"Av. Comendador Gustavo Paiva, S/N - loja 269 - Mangabeiras, Maceió - AL, 57037-901",N/A,N/A,+55 82 99639-0448,1.2,37,-9.6375786,-35.7036752,alagoas
5,J. A. Cell,,ChIJnT0661pFAQcR_eamQGqExzg,"R. Comendador José Geraldo da Silva, 185 - Jacintinho, Maceió - AL, 57040-220",N/A,N/A,+55 82 98731-7913,4.3,9,-9.6462225,-35.7198075,alagoas
6,AF.Cell,,ChIJPZkGlX1FAQcR5vrn6zZHPe4,"R. Agerson Dantas, 46 - Centro, Maceió - AL, 57020-310",N/A,N/A,+55 82 3326-5239,3.8,18,-9.6651057,-35.7396063,alagoas
7,R2 CELL | Assistência Técnica de Celulares em Maceió,,ChIJ31aLsvVJAQcRaK9ntTMP5pg,"R. Sete de Setembro, 413A - Tabuleiro do Martins, Maceió - AL, 57061-140",N/A,N/A,+55 82 99644-6550,5,67,-9.5808786,-35.7737805,alagoas
9,"Via Cell - Assistência Técnica Especializada, Loja e Conserto de Celulares, Tablets e PlayStations | Jacintinho, Maceió - AL",,ChIJM2JtGcBFAQcR4q5kY_44sCk,"R. Cleto Campelo, 09 - Jacintinho, Maceió - AL, 57040-485",N/A,N/A,+55 82 98848-5052,5,79,-9.6426952,-35.718313099999996,alagoas
10,Celular Assist Assistência E Acessórios,,ChIJdY2bd5lPAQcRmmoUQ7gIu28,"Trapiche da Barra, Maceió - AL, 57014-660",N/A,N/A,,,,-9.6646758,-35.757795,alagoas
11,i’m Smart Assistência Técnica - Maceió Shopping,http://loja.ismartbrasil.com/,ChIJMSeTTmJFAQcR2-XBFmLlEhE,"Av. Comendador Gustavo Paiva, 2990 - Mangabeiras, Maceió - AL, 57037-901",N/A,N/A,+55 82 3512-0302,4.6,54,-9.648385099999999,-35.715193299999996,alagoas
12,Beto Acessórios,,ChIJUZbe9H9FAQcRykeZm5REmYk,"R. Boa Vista, 313 - Centro, Maceió - AL, 57020-110",N/A,N/A,+55 82 3221-5567,4,16,-9.6634133,-35.7360493,alagoas
14,ISLANE CELL,,ChIJpT4VYMdHAQcRSQt_c2WOtFU,"R. Sete de Setembro, 05 - Tabuleiro do Martins, Maceió - AL, 57061-140",N/A,N/A,+55 82 99976-0905,4.8,65,-9.5896407,-35.7748577,alagoas
15,Prime Cell,https://www.instagram.com/primecell_1,ChIJaZRWl-RJAQcR541kuu1xebc,"Rua Dr. Eurico Ayres, 16 - Tabuleiro do Martins, Maceió - AL, 57061-050",N/A,N/A,+55 82 99612-9204,5,6,-9.5766521,-35.7717016,alagoas
17,BOLAELETRONICOS,,ChIJv1-4F0VPAQcRAo8z8N_gr6I,"Shopping Popular - Rua do livramento número:468, box 61 - Centro, Maceió - AL, 57020-030",N/A,N/A,+55 82 98810-7990,4.5,15,-9.6643636,-35.7418398,alagoas
18,DPhones Acessórios e Assistência Técnica para Celulares,https://linkfly.to/dphones?fbclid=PAAaYvAB57pjLg20fjdRHFj69kJ8RkLr-38x1lR5BsYrNCQTu4PrtXN-eNR7A_aem_Ab4klHCWh1ffBOOKeTevx4ww_68R39fscN731AszsZUOYBW6VOeCjfQQ0piIRqQGX44,ChIJM4FmYWVFAQcRp-2A5UVxtiI,"Av. Prof. Santos Ferraz, 190 - Poço, Maceió - AL, 57025-040",N/A,N/A,+55 82 98744-5989,4.4,12,-9.66483,-35.721672999999996,alagoas
20,Smart ON - Cursos Manutenção de Smartphone e Assistência Técnica especializada em Apple e Android,https://www.instagram.com/smarton_mcz/,ChIJ8RprasJJAQcRSFT1HvPVFnA,"Av. Durval de Góes Monteiro, 10285 - Tabuleiro do Martins, Maceió - AL, 57061-000",N/A,N/A,+55 82 99958-3746,5,23,-9.5759178,-35.7714486,alagoas
6,Edson celular,,ChIJXz33BklFAQcRG7vu6o8CRdM,"Rua do Sol - Centro, Maceió - AL, 57020-065",N/A,N/A,,5,1,-9.6615897,-35.737128,alagoas
9,Irmão Cell & Acessórios,,ChIJt7Rl93NPAQcRG1JS1VvOYGs,"Av. Monte Castelo - Vergel do Lago, Maceió - AL, 57015-130",N/A,N/A,+55 82 98870-3020,,,-9.6528453,-35.7578192,alagoas
11,Mundo do Celular,,ChIJ_2YfmxRFAQcRHzrbXEs9nZo,"R. Boa Vista, 118 - Centro, Maceió - AL, 57020-110",N/A,N/A,+55 82 99172-5186,3.4,5,-9.6636663,-35.738416099999995,alagoas
14,Centro Cell - Maceió 02,https://contate.me/centrocell-maceio02,ChIJlSV64xpFAQcRP_qZhd4kDNM,"Rua do Livramento, 206 - Centro, Maceió - AL, 57020-030",N/A,N/A,+55 82 98120-8542,4.4,13,-9.6646149,-35.7396094,alagoas
17,Smart X,https://instagram.com/smartx2001?utm_medium=copy_link,ChIJq6qqqhr4FHAR0e72TxXTN1U,"R. Augusta, 342 - Centro, Maceió - AL, 57020-010",N/A,N/A,+55 82 98841-6506,4.3,8,-9.6622828,-35.7409998,alagoas
1,Acessórios P/ Celular,,ChIJpTVkXHZPAQcRnN0dkzMHln0,"R. Rad. Djalma Valença, 349 - Vergel do Lago, Maceió - AL, 57015-300",N/A,N/A,,,,-9.6560819,-35.755418999999996,alagoas
15,Mobile Cell Assistência Técnica Especializada,,ChIJ30ddJqdFAQcRHc2I7_tK4Oc,"R. Boa Vista, N° 75 - sala 109 - Centro, Maceió - AL, 57020-110",N/A,N/A,+55 82 98896-6024,4.9,9,-9.664050999999999,-35.738433,alagoas
16,Lifemobile,https://instagram.com/lojalifemobile,ChIJt6lIpaBFAQcRw6QA7HEyKwQ,"Av. Gov. Lamenha Filho, 1254 - Feitosa, Maceió - AL, 57043-000",N/A,N/A,+55 82 99329-5669,4.7,12,-9.634290499999999,-35.7255731,alagoas
17,"Edson Cell Assistência Técnica, Peças e Acessórios",,ChIJDXQKsH9FAQcR8N13suAqQ4I,"R. Augusta, 91 - Centro, Maceió - AL, 57020-010",N/A,N/A,+55 82 98894-8382,4.4,264,-9.6618332,-35.7386963,alagoas
18,Rhanna Cell,,ChIJF100yxpGAQcRMlQ0ndgKvtU,"R. São Francisco, 51 - Ouro Preto, Maceió - AL, 57062-016",N/A,N/A,,5,1,-9.6139312,-35.731409,alagoas
19,Areia's Cell Store - Assistência Técnica em Maceio,,ChIJOSM6Kg5FAQcRzx6y27CcjBA,"R. Dr. Luís Pontes de Miranda, 01 - Centro, Maceió - AL, 57020-140",N/A,N/A,+55 82 98705-6794,5,9,-9.6654166,-35.7382631,alagoas
1,Belo Cell,,ChIJyQdpoVZIAQcRTiN9a7v4f-0,"R. Dr. João Crisóstomo de Farias - Clima Bom, Maceió - AL, 57071-090",N/A,N/A,,5,2,-9.5765017,-35.7786105,alagoas
5,Arthur Cell Assitência Técnica E Acessórios,,ChIJ7UdlxWNIAQcRnKDfVU3gxAo,"Av. Francisco Afonso de Melo - Santa Lúcia, Maceió - AL, 57082-095",N/A,N/A,+55 82 98888-8555,5,1,-9.5798642,-35.7562743,alagoas
6,WB CELL ASSISTÊNCIA TÉCNICA,,ChIJ2V7lFCY3AQcRwWQQfeyu_Lw,"Res. Jardim Royal, Maceió - AL",N/A,N/A,+55 82 99613-5577,4.7,3,-9.534633399999999,-35.7800341,alagoas
10,NV CELL,https://nvcell.com.br/,ChIJ9ZmFSDRHAQcRuIiuM7E1-Tk,"Em frente ao Mendes Moto Peças - R. Dr. João Crisóstomo de Farias, 228A - Clima Bom, Maceió - AL, 57071-090",N/A,N/A,+55 82 98745-5956,5,69,-9.5749262,-35.7781434,alagoas
3,Salame cell,,ChIJwf5dh-RPAQcREIE2GvXGG_U,"Tv. Panair, N•104 - Vergel do Lago, Maceió - AL, 57015-350",N/A,N/A,+55 82 98876-3453,5,2,-9.652768499999999,-35.7576898,alagoas
4,"MKTECH - Assistência Técnica de Celulares, Computadores e Notebooks.",http://instagram.com/@mktech.br,ChIJDxP07AVPAQcR9rwrvAAPor8,"R. José Corrêa de Melo, 263 - Vergel do Lago, Maceió - AL, 57015-290",N/A,N/A,+55 82 98709-1791,5,22,-9.654522,-35.7557574,alagoas
10,ERICK Assistência Técnica Especializada em Celulares,http://www.instagram.com/erickteccell,ChIJGa3yj3ZFAQcRjqmR0XIfz-E,"R. Santa Rita, 181 - Farol, Maceió - AL, 57055-260",N/A,N/A,+55 82 99341-9550,5,2,-9.6467416,-35.7402485,alagoas
4,"Suporte Smart Maceió Mangabeiras Assistência Técnica de Celular, Computador, Notebook, Tablet, iPad e SmartWatch",https://solucaodigitaltec.com.br/supmaceio/,ChIJZ4VNPzRFAQcRasMfi5xyNPc,"Galeria 5ª Avenida, Av. Gov. Osman Loureiro, 171 - Loja 07 - Mangabeiras, Maceió - AL, 57037-630",N/A,N/A,+55 82 3435-8255,4.9,183,-9.6448456,-35.7109641,alagoas
5,Phone Master - Jatiúca - Assistência Técnica Iphone / Android Maceió-AL,https://linktr.ee/phonemasteroficial,ChIJZyz3uWZPAQcRAkJJWPuhffc,"Galeria via mar, Av. Alm. Álvaro Calheiros, 1077 - Jatiúca, Maceió - AL, 57035-558",N/A,N/A,+55 82 3432-7533,4.9,18,-9.6451598,-35.7100468,alagoas
6,SmartCases Assistance,http://smartcasesassistance.com.br/cliqueaqui,ChIJN70QC9ZFAQcRCVuMxG9nvqI,"Av. Dr. Antônio Gomes de Barros, 970 - Jatiúca, Maceió - AL, 57036-000",N/A,N/A,+55 800 342 6553,4.9,139,-9.651110899999999,-35.7098806,alagoas
11,Help Cell,,ChIJSy617rBFAQcR2LsqUzyVwRk,"Av. Dr. Antônio Gomes de Barros, 1144 - Jatiúca, Maceió - AL, 57036-000",N/A,N/A,+55 82 98803-6990,4.5,4,-9.6510047,-35.711528799999996,alagoas
12,Case Shop,https://wa.me/message/7SIJGQODBO2XJ1,ChIJlyXWeglFAQcR2SCRHgZ0Tbw,"Av. Dona Constança de Góes Monteiro, 2650b - Jatiúca, Maceió - AL, 57031-520",N/A,N/A,+55 82 98118-8239,4.3,68,-9.6502302,-35.716212399999996,alagoas
13,iPhone Mobile Maceió,https://iphonemobile.com.br/,ChIJo2D0Q0JFAQcRt02tL43qMWs,"R. José Soares Sobrinho, 69 - Jatiúca, Maceió - AL, 57036-640",N/A,N/A,+55 82 99130-4664,3,2,-9.6466721,-35.7058663,alagoas
14,Maceió IPhone - Assistências Técnicas Iphone,https://instagram.com/maceioiphoneoficial?igshid=YmMyMTA2M2Y=,ChIJeVQjQlhFAQcRTB7Oi6-YJOc,"Av. Dona Constança de Góes Monteiro, 1174 - Mangabeiras, Maceió - AL, 57036-371",N/A,N/A,+55 82 98837-4309,4.5,8,-9.6500316,-35.7147767,alagoas
15,Loja Vivo,https://vivo.com.br/para-voce/ajuda/mais-ajuda/encontre-uma-loja?_gl=1*pwmg40*_gcl_aw*R0NMLjE3MzI1MjU4MzMuRUFJYUlRb2JDaE1Jek15VjBkdjFpUU1WMDJ6ZEFoMTBNU0plRUFFWUFTQUFFZ0lsWXZEX0J3RQ..*_gcl_dc*R0NMLjE3MzI1MjU4MzMuQ0t6LV90ZmI5WWtERlRWSzNRSWQxUUVEY1E.*_gcl_au*MTUzOTUwNjgxNS4xNzMxNjIxOTE3*_ga*MjEyMzgwODk5Mi4xNzMxNjIxOTI5*_ga_JWH50P3VES*MTczMjkwMzAzNC40LjEuMTczMjkwMzA4OS41LjAuMA,ChIJMZ890b1FAQcR_ENjpz0XhA0,"Av. Comendador Gustavo Paiva, 2990 - 1º Piso - Loja 171/172/173 - Mangabeiras, Maceió - AL, 57032-901",N/A,N/A,+55 82 98124-9607,3.9,507,-9.6494913,-35.7170117,alagoas
17,Clubcell,,ChIJX_mgZL5FAQcROeHBbg61AYY,"Av. Comendador Gustavo Paiva, 2889 - sala C04 - Cruz das Almas, Maceió - AL, 57038-000",N/A,N/A,+55 82 99660-4144,4.6,16,-9.6479165,-35.7164484,alagoas
19,3M Cell,,ChIJC81Zz8FFAQcRfYQm84T6qMk,"R. Cleto Campelo, 337 - Jacintinho, Maceió - AL, 57041-000",N/A,N/A,+55 82 98721-8709,5,3,-9.6407992,-35.7178748,alagoas
20,Samsung Experience Store,https://www.samsung.com/br/campaign/storecontacts/,ChIJayZE1bZFAQcRyoE5zNeKq7E,"Av. Comendador Gustavo Paiva, 2990 - Piso Térreo - Loja 175 - Mangabeiras, Maceió - AL, 57032-901",N/A,N/A,+55 82 99105-9763,4,75,-9.6478956,-35.714605299999995,alagoas
3,Conexão Brasília,,ChIJtxAdaSNFAQcRgmul3Nfc_5o,"R. Jangadeiros Alagoanos, 1292 - Pajuçara, Maceió - AL, 57030-000",N/A,N/A,+55 82 99662-3998,4.2,5,-9.6646983,-35.7112287,alagoas
4,Edvaldo Phone Store - Assistencia Especializada Apple e Android,https://www.instagram.com/edvaldophonestore/,ChIJCxCH2VBFAQcRD0Q6YmrJ53s,"Tv. Cleto Campêlo, 18b - Jacintinho, Maceió - AL, 57041-000",N/A,N/A,+55 82 99913-6106,4.8,9,-9.637856,-35.718356,alagoas
