Position,Title,Link,Place ID,Address,City,State,Phone,Rating,Reviews,Latitude,Longitude,Estado
1,QUEIJO CELULAR,,ChIJ-xdsJUAHFgcRxQQtPn7sJM0,"Estr. da Rodagem, 2920 - Mar Grande, Vera Cruz - BA, 44470-000",N/A,N/A,+55 71 3633-4840,4.3,28,-12.9622852,-38.6105672,bahia
2,Americanas,https://www.americanas.com.br/lojas-proximas/33014556000196/1345?ordenacao=topSelling&utm_medium=meunegocio&utm_source=google&utm_campaign=marca:acom;midia:meunegocio;formato:00;subformato:00;idcampanha:pacotelocal&epar=mn_00_00_go_pacotelocal,ChIJYYvjVTYHFgcRTF4H228g7lQ,"Estr. da Rodagem, 3090 - Centro, Vera Cruz - BA, 44470-000",N/A,N/A,,4.2,95,-12.962453,-38.609122,bahia
3,Rick Celular e Acessórios,,ChIJRw-EJlQBFgcR-cRf4tWip7c,"R. das Frutas - Condomínio Passárgada, Vera Cruz - BA, 44470-000",N/A,N/A,+55 71 98685-0221,,,-12.9933029,-38.6362521,bahia
4,Casa do Celular,,ChIJNyfeYdkEFgcRjCVg0R0Ws-E,"R. Djalma Dutra, 20 - Brotas, Salvador - BA, 40276-030",N/A,N/A,+55 71 99173-6235,5,1,-12.9705465,-38.4992058,bahia
5,Ronny Smartphone,https://ronnysmartphone.com.br/,ChIJlQP3oR0FFgcRXkRPLk3OkgE,"Rua 21 de abril,edificio barão do rio branco, sala 501 - Nazaré, Salvador - BA, 40050-390",N/A,N/A,+55 71 98644-0260,5,161,-12.9812797,-38.5142878,bahia
6,Casa do Celular - Salvador Lapa,http://www.casadocelular.com.br/,ChIJKSEkh9YFFgcR3FWNwAd913Y,"R. Portão da Piedade, 155 - Dois de Julho, Salvador - BA, 40070-045",N/A,N/A,+55 71 99195-6998,4.2,67,-12.9830493,-38.5137322,bahia
7,Casa Do Celular,http://casadocelular.site/,ChIJVVVVPJMEFgcRyEYcEelZayI,"Rua Conselheiro Junqueira Ayres, 165 - Dois de Julho, Salvador - BA, 40070-080",N/A,N/A,+55 85 98418-1010,,,-12.983460899999999,-38.5130754,bahia
8,Casa Do Celular,http://casadocelular.site/,ChIJRRb0yO0EFgcRD1TlEagK0_0,"Av. Sete de Setembro, 94 - LJ 01 - Campo Grande, Salvador - BA, 40020-037",N/A,N/A,+55 85 98418-1010,,,-12.9784866,-38.5144928,bahia
9,tecnopronto celulares,,ChIJITmMC1MbFgcRk92tmv0TdCI,"R. Alberto Fiúsa, 2464 - box 01 - Imbuí, Salvador - BA, 41720-025",N/A,N/A,+55 71 99699-5999,3.9,14,-12.9686077,-38.4381781,bahia
10,QUEIJO CELULAR ATAKAREJO,https://w.app/79QVsS,ChIJCYqi688BFgcRa9HhceFLOe4,"BA-001, 8765 - Loja 05 - Condomínio Estrela do Mar, Vera Cruz - BA, 44470-000",N/A,N/A,+55 71 98749-5318,,,-12.9979845,-38.6403202,bahia
11,S.O.S Telas l Assistência Técnica para Celulares,https://www.instagram.com/s.o.s_telas/,ChIJpXXdgn0FFgcRKCRUHKj21XM,"Av. Sete de Setembro, 400 - Edif Bloco A Sala 01 e 02 Slj 3 - Dois de Julho, Salvador - BA, 40060-900",N/A,N/A,+55 71 98287-0880,5,12,-12.9810047,-38.5147553,bahia
12,Smart Lovers Celulares,https://wa.me/c/557196559215,ChIJYYM-vncFFgcR98IPB0Lt5b8,"Rua do Uruguay, 131 - Uruguai, Salvador - BA, 40450-211",N/A,N/A,+55 71 99655-9215,5,2,-12.9379963,-38.4980295,bahia
13,Fernandes Celular,https://wa.me/message/GV3EVTEX2FP4A1,ChIJi5bNxDoFFgcRphZFGOOU16c,"Tv. Prof. Luís Anselmo da Fonseca - Brotas, Salvador - BA, 40270-580",N/A,N/A,+55 71 99299-2744,5,2,-12.9740288,-38.490453599999995,bahia
14,EasyLife Forever Acessórios de Celular e Eletrônicos,,ChIJs-H-cL4bFgcRrIX79MwmMJQ,"R. Cel. Almerindo Rehem - Caminho das Árvores, Salvador - BA, 41820-768",N/A,N/A,+55 71 99414-8770,,,-12.980220599999999,-38.4557388,bahia
15,Jó celulares,,ChIJqQqCakoFFgcRsCHbJFfOGEs,"Av. Sete de Setembro, 414 - Dois de Julho, Salvador - BA, 40060-001",N/A,N/A,+55 71 99242-7821,5,1,-12.9812941,-38.5148328,bahia
16,PU CASE Blindagem de Celular,,ChIJSVbnURgFFgcRPDVtOj-uPC8,"Pr. Visc. de Cayru, 1 - Comercio, Salvador - BA, 40015-170",N/A,N/A,+55 71 99995-5238,5,5,-12.9740475,-38.5133776,bahia
17,Casa do Celular - Salvador Liberdade,http://www.casadocelular.com.br/,ChIJj9K6f84FFgcRaKIqhdv12HE,"Estr. da Liberdade, 329 - Liberdade, Salvador - BA, 40375-017",N/A,N/A,+55 71 98456-1548,4.3,47,-12.947673,-38.4931589,bahia
18,A J&J Celular Assistência Técnica,,ChIJvdvIPe0EFgcRUfOph_SNHVg,"ed fundacao politecnica - Avenida Sete de Setembro, 400 n144, bl,b - Dois de Julho, Salvador - BA, 40060-903",N/A,N/A,+55 71 99159-4501,4.6,20,-12.9810479,-38.514816499999995,bahia
19,A Loja Celulares - Assistência técnica especializada,https://wa.me/message/3EAOKK6YMKCDK1,ChIJl97NKAIFFgcRN6-PW0avRNs,"R. Emídio dos Santos, 12 - Barbalho, Salvador - BA, 40301-015",N/A,N/A,,4.5,16,-12.965457299999999,-38.500944499999996,bahia
20,Mixcell Xiaomi Salvador,,ChIJvbkg4OcEFgcRtPGSfnE5Mk4,"Av. José Joaquim Seabra, 160 - Pelourinho, Salvador - BA, 40025-001",N/A,N/A,+55 71 3015-1993,4.7,698,-12.9738969,-38.5075722,bahia
3,J-tech,https://wa.me/message/GAAYZ2TZTOGZA1,ChIJO8Th5SsFFgcR3V4cNyLEz3I,"Edificio regente feijo - R. Portugal, 17 - sala 1102 - Comercio, Salvador - BA, 40015-000",N/A,N/A,+55 71 3241-6807,4.9,46,-12.9722162,-38.512526799999996,bahia
4,Engenho Phone Com e Manutenção de Aparelho Celular,,ChIJe01jcr4EFgcRUMN4OamQSjY,"Pc Capelinha Deus Menino, 7 - Engenho Velho de Brotas, Salvador - BA, 40243-800",N/A,N/A,+55 71 3381-1390,5,1,-12.987881499999999,-38.5020427,bahia
5,S&M Acessórios,http://acessoriossem.com.br/,ChIJ1RDHsS8HFgcRAoBePS8V3n4,"R. São Bento - Lot. Parque das Mangueiras, Vera Cruz - BA, 44470-000",N/A,N/A,+55 71 98927-0003,5,1,-12.9636666,-38.608321,bahia
6,Luís acessórios para celular,,ChIJtapS95YFFgcR3bZphj0HnjE,"Av. José Joaquim Seabra, n 226 - Baixa dos Sapateiros, Salvador - BA, 40024-082",N/A,N/A,+55 71 98776-0139,4.3,3,-12.9722665,-38.5076092,bahia
7,KADU CELULARES,,ChIJXQ8zO_QFFgcRq5BTtTzKSkE,"R. Djalma Dutra - Nazaré, Salvador - BA, 40255-000",N/A,N/A,+55 71 99127-4727,3.5,2,-12.9729727,-38.4995732,bahia
10,Ananias Celular,,ChIJj5TCCzMFFgcRzSVIGRCYr0c,"Pero Vaz, Salvador - BA, 40330-200",N/A,N/A,,5,1,-12.9550497,-38.4873787,bahia
11,NIVAN ACESSÓRIOS DE CELULAR E VARIEDADES,,ChIJr3ZD7OgFFgcRfDFTJP4nJK4,"R. da Conceição da Praia - Comercio, Salvador - BA, 40015-250",N/A,N/A,+55 71 99160-1636,,,-12.9739879,-38.5133831,bahia
12,Assistência Técnica de celulares Eletrosonic,,ChIJFe5zDJIFFgcRm6cmF5bnKDA,"Praça do Barbalho- Santo Antônio Além do Carmo - Barbalho, Salvador - BA, 40300-753",N/A,N/A,+55 71 99711-1435,5,10,-12.9669741,-38.5011389,bahia
13,uti do celular,,ChIJUX7GIXQDFgcRNsn7TYcEodM,"R. Eduardo Diniz Gonçalves, 03 - Barra, Salvador - BA, 40140-240",N/A,N/A,+55 71 98841-6134,,,-13.008437899999999,-38.5258846,bahia
14,Arte celular,,ChIJOafNmOMFFgcRclNsvrp-9-w,"edifício Fund. Politécnica 1 - Av. Sete de Setembro, 400 - sobreloja, 136 - Dois de Julho, Salvador - BA, 40060-001",N/A,N/A,+55 71 98732-6277,3,2,-12.9810384,-38.514836599999995,bahia
