Position,Title,Link,Place ID,Address,City,State,Phone,Rating,Reviews,Latitude,Longitude,Estado
1,J & O Celulares Serviços e Acessórios,,ChIJ-zaDdGtNxwcRORa7Yq7bl5g,"R. Viçosa Maia, 1665 - Siqueira, Fortaleza - CE, 60732-190",N/A,N/A,,5,2,-3.8120881,-38.627942999999995,ceará
2,Loja David Cell,https://www.instagram.com/lojadavidcell/,ChIJMSTslhxNxwcRxotn2UW-b0c,"R. Adalberto Malveira - Siqueira II, Fortaleza - CE, 60732-290",N/A,N/A,+55 85 98931-4111,5,2,-3.8195335999999998,-38.6237703,ceará
3,DihCell,,ChIJo1IJ_-JNxwcROxa8wVehTK4,"Av. A, 130B - Parque Jari, Maracanaú - CE, 61916-030",N/A,N/A,+55 85 98890-4738,5,1,-3.8250534,-38.6318134,ceará
4,ELETROCELL,,ChIJsSu_hBNNxwcR5REOg1ufv6w,"R. Brilhante, 325 - Siqueira, Fortaleza - CE, 60732-465",N/A,N/A,+55 85 98793-6003,5,26,-3.8080705999999998,-38.626177299999995,ceará
5,Top Presentes e Acessórios para Celular,,ChIJzWaBbkdNxwcRiJUNQRSNt2E,"Av. Eng. Luiz Montenegro, 732 - Loja 2 - Siqueira II, Fortaleza - CE, 60732-270",N/A,N/A,+55 85 99107-9689,,,-3.8133331999999998,-38.6199983,ceará
6,WR Acessórios e Celulares BRINDES,,ChIJfamRveNMxwcR7GTBbjfp8sc,"R. João Gentil, 2881 - Bom Jardim, Fortaleza - CE, 60540-050",N/A,N/A,+55 85 98744-8450,3,1,-3.7912939999999997,-38.625197899999996,ceará
7,"Dione Cell assistência técnica em celulares,venda de acessórios.",,ChIJa1NeVHdNxwcRp-dGsolQ8Pc,"Av. Gen. Osório de Paiva, 7640 - Siqueira, Fortaleza - CE, 60732-142",N/A,N/A,+55 85 98594-9390,5,20,-3.8189301999999996,-38.6161473,ceará
8,Primo Celulares | Assistência técnica e Acessórios para Celulares | Troca de Vidro,,ChIJw2si4ldMxwcRcMjOflF4Dok,"Av. Oscar Araripe, 2215 - Granja Lisboa, Fortaleza - CE, 60540-444",N/A,N/A,+55 85 3497-1814,4.4,286,-3.7877229999999997,-38.610800999999995,ceará
9,GRILO CELL ATUALIZAÇÕES EM SOFTWARE REPARAÇÃO EM PLACAS DE SMARTPHONE OK,https://www.instagram.com/p/CDYuKO0nc8I/?igshid=5mkxyf38e4ni,ChIJ5XjiFb5NxwcRNLQpRTjgtRc,"Rua 114 - Conj. Esperança, Fortaleza - CE, 60763-630",N/A,N/A,+55 85 98920-4519,5,12,-3.8113498999999997,-38.5939729,ceará
10,Mfcell acessórios,,ChIJJTdDR3VNxwcRiEqxxTEfK1w,"R. Santo Anastácio - Siqueira, Fortaleza - CE, 60732-800",N/A,N/A,+55 85 99409-6539,,,-3.8116906,-38.6071849,ceará
11,Jefferson CelulaR,,ChIJvQxMUu5TxwcRirVgqptg_Ok,"Rua Heleno De Freitas, Beco Da Poeira, 1861 - Alto Alegre II, Maracanaú - CE, 61921-380",N/A,N/A,+55 85 98857-5419,,,-3.8285337999999998,-38.6138616,ceará
12,Loja Importadão Cell,,ChIJ3wFUrLdNxwcRFTlNsS3-WSE,"Rua Sargento João Pinheiro, 1817 - Granja Lisboa, Fortaleza - CE, 60540-513",N/A,N/A,,5,1,-3.7884737,-38.6242053,ceará
13,Nilson celular,https://instagram.com/nilsoncelular?igshid=YmMyMTA2M2Y=,ChIJTe-rw1NMxwcRAganDdJMpZ0,"R. Cel. João Correia, 1396 - Granja Lisboa, Fortaleza - CE, 60543-322",N/A,N/A,+55 85 98954-7770,4.7,25,-3.7918328,-38.6043604,ceará
14,D&E celulares,,ChIJt7QxcNdNxwcRAIOVR0PFl6Q,"R. Mandu, 1102 - A - Siqueira, Fortaleza - CE, 60732-130",N/A,N/A,+55 85 99868-3882,,,-3.8137830999999998,-38.6221919,ceará
15,Rcell - Manutenção & Variedades,,ChIJm5tjUfRNxwcRl7i9FV-ihJM,"R. Martins Carvalho, 4351 - Granja Lisboa, Fortaleza - CE, 60540-182",N/A,N/A,+55 85 98611-5842,4.7,29,-3.7886525,-38.6276576,ceará
16,Icases imports _ Acessórios para celular,,ChIJWbnQ82tNxwcRgKUgpfAIUdI,"Rua Sargento João Pinheiro, 1455 - Granja Lisboa, Fortaleza - CE, 60540-513",N/A,N/A,+55 85 98793-6322,5,1,-3.7858459,-38.623577399999995,ceará
17,K & k recargas de celular,,ChIJ_UyGBapTxwcRmTGqyesdc-g,"Av. Dr. Mendel Steinbruch - Monguba, Fortaleza - CE, 60766-655",N/A,N/A,+55 85 98675-7609,5,2,-3.8345054999999997,-38.5822218,ceará
18,Primo Celulares 2,https://www.facebook.com/PrimoCell-1262040037165423/?ref=br_rs,ChIJCej5mHxMxwcRbU2wTBPwgm4,"Av. Ministro Albuquerque Lima, 711 - Conj. Ceará I, Fortaleza - CE, 60533-697",N/A,N/A,+55 85 98939-6988,5,1,-3.7683948999999997,-38.6062546,ceará
19,TECHMAIS - Acessórios E Assistência Técnica,https://linktr.ee/techmais__,ChIJ2ylSnxBNxwcROCjfbNuIL-w,"Av. Oscar Araripe, 1828 - Bom Jardim, Fortaleza - CE, 60543-452",N/A,N/A,+55 85 98633-4480,4.6,25,-3.7884346,-38.6074495,ceará
20,JR Celulares Assistência técnica & Acessórios,,ChIJBZMrEf5NxwcR8FnYUplLKa8,"Av. Oscar Araripe, 2242 - Granja Lisboa, Fortaleza - CE, 60540-444",N/A,N/A,+55 85 99215-7761,2.7,15,-3.7872907999999996,-38.61111,ceará
1,D'TUDO CELULAR,,ChIJGYYSAwBLxwcRI94pkWKXsDM,"Av. Lineu Machado, 419 - Jóquei Clube, Fortaleza - CE, 60520-101",N/A,N/A,,,,-3.7643024,-38.5748622,ceará
2,JV Cell Importados,,ChIJdTQpBFdNxwcRwu0UG0BcUc8,"R. Martins Carvalho, 620 - Bom Jardim, Fortaleza - CE, 60543-345",N/A,N/A,+55 85 98783-1205,5,1,-3.7962637,-38.6007464,ceará
3,Casa do Celular - Jóquei,http://casadocelular.com.br/,ChIJ0xL6AR1NxwcRRUgYHDHeqs0,"Av. Lineu Machado, 419 - 1056 - Jóquei Clube, Fortaleza - CE, 60520-102",N/A,N/A,+55 85 99813-0658,2.4,59,-3.7639278,-38.575395,ceará
4,Duda Acessórios,,ChIJkZtboepNxwcRGC96Ead32y4,"Rua Sargento João Pinheiro, 1764 - Granja Lisboa, Fortaleza - CE, 60540-513",N/A,N/A,+55 85 98773-3692,4.9,12,-3.7877022,-38.624274199999995,ceará
5,"RAMONCELL - Assistência Técnica em reparo de Celulares, Smartphones, Iphones e Android",https://www.instagram.com/ramoncell7/,ChIJ_3GNW91PxwcRMPU6AP6yiyA,"R. E, 185 - Canindezinho, Fortaleza - CE, 60810-670 - Canindezinho, Fortaleza - CE, 60734-050",N/A,N/A,+55 85 98653-4210,5,66,-3.8166496,-38.603013,ceará
6,Casa do Celular - Parangaba,http://www.casadocelular.com.br/,ChIJK8SHVotPxwcRWVzpYO0pNZA,"Rua Germano Franck, 300 - Parangaba, Fortaleza - CE, 60740-020",N/A,N/A,+55 85 98145-1823,2.3,47,-3.7756133999999997,-38.5620343,ceará
7,Celular,,ChIJfbrlaBVMxwcRv6SuOUKDduM,"Bonsucesso, Fortaleza - CE, 60545-350",N/A,N/A,,,,-3.7793067999999996,-38.5883542,ceará
8,Mk Cell acessórios para celular,https://www.instagram.com/mkcell58?igsh=a2F0enhkaDJmeW41,ChIJyQ4pBwBNxwcR5uU2ROSCMEc,"R. Cônego de Castro, 7166 - Vila Peri, Fortaleza - CE, 60730-190",N/A,N/A,+55 85 98937-3586,5,4,-3.8172664,-38.600963199999995,ceará
9,Casa Do Celular - Maracanaú,http://www.casadocelular.com.br/,ChIJ96ntcatTxwcRaUX6cMtYPoc,"AV. Senador - Av. Carlos Jereissati, 100 - Loja 223 - Jereissati II, Maracanaú - CE, 61900-010",N/A,N/A,+55 85 98517-9081,2.2,59,-3.8804258,-38.6220944,ceará
10,MOZAR CELULARES,,ChIJB9xV4UBNxwcRgXYLbdr2bVQ,"R. Maria Júlia, 1313 - Siqueira, Fortaleza - CE, 60545-045",N/A,N/A,+55 85 98640-1622,3.4,5,-3.7960933999999997,-38.6007822,ceará
11,XBF Celular Fortaleza Jóquei,,ChIJtegLjDZNxwcRCk6oK0-8K4w,"Av. Lineu Machado, 419 - Jóquei Clube, Fortaleza - CE, 60502-102",N/A,N/A,+55 85 99734-8742,4,27,-3.7647340999999996,-38.5744554,ceará
12,"Tok Cell: Conserto de Celular, Android, iPhone, Conjunto Ceará",https://link.meulink.bio/tok-cell,ChIJl3PQA9xNxwcR8bz0nri46Pw,"Av. G, 338 - Conj. Ceará, Fortaleza - CE, 60533-650",N/A,N/A,+55 85 99431-4428,4.6,54,-3.7727925,-38.611882099999995,ceará
13,"Regis, Servicos De Recarga E Celular Em Geral",,ChIJeaE9bbVLxwcR8NrkzizLBic,"R. Maria José Teixeira, 765 - Quintino Cunha, Fortaleza - CE, 60351-230",N/A,N/A,+55 85 3081-7006,4.4,8,-3.7322699,-38.591276,ceará
