Position,Title,Link,Place ID,Address,City,State,Phone,Rating,Reviews,Latitude,Longitude,Estado
1,Ad Celulares Assistência Técnica,,ChIJkREKHz2a9gcRmKRycFVLAUo,"Av. 29 de Dezembro, 230 - Cidade Olímpica, São Luís - MA, 65058-508",N/A,N/A,+55 98 98912-4872,5,315,-2.5860781999999998,-44.182789799999995,maranhão
2,Casa do Celular - Rio Anil Shopping,http://www.casadocelular.com.br/,ChIJ-8dZexmR9gcR1KUkafVArdY,"Rei Da França - R. São Luís, 8 - Turu, São Luís - MA, 65065-470",N/A,N/A,+55 98 98550-1107,4.2,37,-2.5335918,-44.2250917,maranhão
3,AD CELULARES,,ChIJ1yxM6WCb9gcROufqOSB8-8A,"AD CELULARES - Alameda Imperatriz, 46 - Jd Tropical I, São José de Ribamar - MA, 65110-000",N/A,N/A,+55 98 98912-4872,5,402,-2.5750477,-44.1860372,maranhão
4,Brava Premium - Acessórios para Celular,,ChIJyZlSPQCP9gcRddam4NiOEF4,"Av. Daniel de La Touche, 987 - Bequimão, São Luís - MA, 65074-115",N/A,N/A,+55 98 92001-5780,5,4,-2.5274136,-44.255304699999996,maranhão
5,Extracell Celulares,https://www.instagram.com/extracellassistec?igsh=a2NreTI2dXlkdXdn,ChIJFXNj4u-J9gcRMrQ8WOD_ov4,"R. Nicarágua, 7 - Anjo da Guarda, São Luís - MA, 65085-294",N/A,N/A,+55 98 98708-5331,5,2,-2.5639711,-44.3329701,maranhão
6,Paris Celular,https://instagram.com/pariscelular?utm_medium=copy_link,ChIJAVEFegKR9gcReyGrBntV108,"R. Pres. Lula - Anil, São Luís - MA, 65045-380",N/A,N/A,+55 98 98263-7002,5,11,-2.5534700999999997,-44.244412,maranhão
7,Soares Júnior Assistência Em Celulares,http://juniorcell.e-com.club/#sx,ChIJAwcPfh-Q9gcRXC7GUoaGYK8,"Av. Edson Brandão, 16 - Cutim, São Luís - MA, 65045-380",N/A,N/A,+55 98 98863-0082,5,1,-2.5525835999999997,-44.2452201,maranhão
8,Mundo do Celular,,ChIJUcsyIVKQ9gcRVkCmNE0qOKA,"Av. João Pessoa, 358 - João Paulo, São Luís - MA, 65040-000",N/A,N/A,+55 98 3225-6250,4,53,-2.5483295,-44.2668457,maranhão
9,POP CELL CELULARES,,ChIJaWAuoe2R9gcR-gkAaVdEk4c,"Feira do São Bernardo no n54 - Ipem São Cristóvão, São Luís - MA, 65070-900",N/A,N/A,+55 98 98839-3201,4.9,11,-2.5658993999999997,-44.217928699999995,maranhão
10,Jhon Cell,,ChIJESolAACD9gcRXEJDjuZJIdQ,"Nova República, São Luís - MA, 65090-575",N/A,N/A,+55 98 98777-8320,5,2,-2.6435103,-44.2773168,maranhão
11,SOCORRISTA DO CELULAR,,ChIJ-dmoG0yM9gcRF7N4VBhmp5A,"R. de Santa Rita, número 09 - Centro, São Luís - MA, 65015-580",N/A,N/A,+55 98 98212-7774,5,1,-2.5334098,-44.2974566,maranhão
12,Casa Do Celular - São Luiz,http://www.casadocelular.com.br/,ChIJAfWj2SeP9gcRIqNnMrQrULU,"R. Oswaldo Cruz, 461 - Centro, São Luís - MA, 65020-970",N/A,N/A,+55 98 98461-7088,4,62,-2.5306183,-44.299327299999995,maranhão
13,Ilha do Celular,,ChIJy8pHUsKP9gcRyXC8VA_pE8I,"R. Sete de Setembro - Centro, São Luís - MA, 65010-230",N/A,N/A,+55 98 99213-7155,5,1,-2.5317523,-44.301039599999996,maranhão
14,Casa do Celular - São Luis 1,http://www.casadocelular.com.br/,ChIJpUNt6COP9gcRh3zh7VfQ_Q0,"R. Oswaldo Cruz, 589 - Centro, São Luís - MA, 65020-250",N/A,N/A,+55 98 98736-5274,3.7,27,-2.5306433,-44.2982552,maranhão
15,"Dinho Celular Consertos,pecas E Acessorios",,ChIJr5qhYlWF9gcR1xZE-NZFwjo,"Av. Sarney Filho, sn - Vila Conceição (Coroadinho), São Luís - MA",N/A,N/A,+55 98 98857-0765,5,1,-2.5708615,-44.2642034,maranhão
16,Celular & Cia,,ChIJwzBArFGQ9gcR4jb2DiduwNo,"Av. Jerônimo de Albuquerque, 2 B - Cohab Anil III, São Luís - MA, 65050-210",N/A,N/A,+55 98 99112-2346,3.6,129,-2.5445329,-44.217465499999996,maranhão
17,"Nagem Shopping da Ilha: Celulares, Eletros, Games, Notebooks, São Luís",https://www.nagem.com.br/,ChIJbTl_eySO9gcR0oPfzR2Yyv0,"Av. Daniel de La Touche, 987 - Cohama, São Luís - MA, 65074-115",N/A,N/A,+55 800 080 2021,4.5,12,-2.5268888,-44.2546599,maranhão
18,Vick Vinny Variedades,,ChIJs3ZF8fiD9gcRitgbEMTQsvI,"Rua 02 quadra 01 numero 20 conjunto jatoba - Vila Maranhão, MA, 65091-029",N/A,N/A,+55 98 98846-6395,3.5,6,-2.6254199,-44.318669,maranhão
19,Turu Celulares,https://www.instagram.com/turucelulares?igsh=MWI0Y3BhMTQyeTl5YQ==,ChIJL9mAAfyT9gcR6OzZT-G0vHg,"Av. Sete, Quadra 23 - casa 23 - Jardim Eldorado, São Luís - MA, 65065-760",N/A,N/A,+55 98 98780-7003,5,1,-2.5002185999999997,-44.223135299999996,maranhão
