Position,Title,Link,Place ID,Address,City,State,Phone,Rating,Reviews,Latitude,Longitude,Estado
1,Yuri cell34,,ChIJyS1ZFg_prAcRDgYoyGr5ML8,"Av. Cruz das Armas, 2853 - Oitizeiro, João Pessoa - PB, 58085-000",N/A,N/A,,5,1,-7.1562589999999995,-34.895914999999995,paraíba
2,Cellshop83,,ChIJb5tBaFHprAcRj64c6qj9lWw,"Cellshop83 - R. Monte Sinai, 907 - Bairro das Indústrias, João Pessoa - PB, 58083-260",N/A,N/A,+55 83 98727-1890,5,36,-7.1790612,-34.921520799999996,paraíba
4,Dicell Jampa,https://instagram.com/dicelljampa?igshid=n9a5kvhgu0ee,ChIJVwkT11XprAcRKkrX88DOxKI,"Rua Abdias Abdon de Araújo, 222 - Bairro das Indústrias, João Pessoa - PB, 58083-230",N/A,N/A,+55 83 98225-8039,4.7,7,-7.1788754,-34.920758,paraíba
5,Yuri cell,,ChIJ07oQoKvDrAcRtStu5i668Fs,"R. Leopoldo Pereira Lima, 336 - Mangabeira VIII, João Pessoa - PB, 58059-200",N/A,N/A,+55 83 98604-0731,5,4,-7.179128899999999,-34.831497299999995,paraíba
6,Jampa Cel,,ChIJ6ypR6vLprAcRXEnwfXILfAM,"R. Espedito Belmiro Santos, 19 - Grotão, João Pessoa - PB, 58079-794",N/A,N/A,+55 83 98847-1029,4.8,24,-7.186501499999999,-34.8829959,paraíba
7,EDCELL,,ChIJH61LE73prAcRT8qyVbX70XU,"R. Profa. Adelaíde Figueiredo Gouvêia - Costa e Silva, João Pessoa - PB, 58081-230",N/A,N/A,+55 83 98805-8621,4.7,7,-7.1742325,-34.8937515,paraíba
8,Jcell,,ChIJlT5wlojprAcRhdiHMkJ4voY,"R. Dois de Novembro - Bairro das Indústrias, João Pessoa - PB, 58083-280",N/A,N/A,+55 83 98684-3447,5,3,-7.1795734,-34.9212084,paraíba
9,JL.Cell,http://jl.cell.com.br/,ChIJ3yBNe3HDrAcR9Ql5jdiiMOg,"Venezio José do Nascimento - Mario Andreazza, Bayeux - PB, 58055-540",N/A,N/A,+55 83 98882-3108,5,8,-7.1482629,-34.9264095,paraíba
10,LimaCell,,ChIJjdh6KR3prAcRMAZPUGMadD8,"R. Elias Cavalcanti de Albuquerque, 149 - Cristo Redentor, João Pessoa - PB, 58070-400",N/A,N/A,+55 83 98710-6663,4.5,35,-7.1573875,-34.8776107,paraíba
11,Top Cell,,ChIJv8MynTHorAcRp3Xlje24id4,"R. Elias Cavalcanti de Albuquerque, 721 - Cristo Redentor, João Pessoa - PB, 58070-400",N/A,N/A,+55 83 98796-8729,4.7,10,-7.1535889,-34.8760694,paraíba
12,Play Soft Cell,,ChIJny3awPLprAcRxiimiC65AuQ,"R. Nossa Sra. da Paz, 101 - Grotão, João Pessoa - PB, 58079-790",N/A,N/A,+55 83 98862-9926,4.2,15,-7.186643999999999,-34.8834361,paraíba
13,"Inforcell Conde Assistência Técnica Em Celulares, Acessórios e Periféricos em Geral",,ChIJXzyCqPzrrAcRsPxthYSzDUg,"MERCADO Público - Rua NS da Conceição LOJA 39, LOJA 39 SETOR 02 - Centro, Conde - PB, 58322-000",N/A,N/A,+55 83 99920-0356,4.8,42,-7.2618066,-34.9077838,paraíba
