Position,Title,Link,Place ID,Address,City,State,Phone,Rating,Reviews,Latitude,Longitude,Estado
1,JS Celulares,,ChIJw6s6svAdqwcRLfoLjeKNkis,"R. Frei Gáspar da Me. de Deus, 261 B - Ur-06, Jaboatão dos Guararapes - PE, 54270-060",N/A,N/A,+55 81 98742-8911,5,1,-8.136334399999999,-34.9623437,pernambuco
2,Jackson Cell,,ChIJQWoWFIwdqwcRHLAtUtYFU3g,"R. Duarte Coelho - Marcos Freire, Jaboatão dos Guararapes - PE, 54360-120",N/A,N/A,+55 81 99964-1541,5,1,-8.134338699999999,-34.977121,pernambuco
3,JR MULTISERVIÇOS E ACESSÓRIOS PARA CELULAR,https://instagram.com/jrmultiservicos1?igshid=MzRlODBiNWFlZA==,ChIJF9s6KiLhqgcR-zbgt-ujc0c,"Av. Barreto de Menezes, 432 - Marcos Freire, Jaboatão dos Guararapes - PE, 54360-160",N/A,N/A,+55 81 98977-9847,5,1,-8.136843899999999,-34.974500899999995,pernambuco
4,Fj Inforcell,,ChIJpXit86AdqwcRj3nX2Vurt4w,"Av. Expedicionário Francisco Vitoriano, 22A - COHAB, Recife - PE, 51310-000",N/A,N/A,+55 81 98619-5964,5,3,-8.1343435,-34.9501908,pernambuco
5,Império do Celular,https://instagram.com/imperiodocelular28?utm_medium=copy_link,ChIJZalZz5cdqwcRlJ42dKQizfg,"Av. Belém De Judá, 294a - Dois Carneiros, Jaboatão dos Guararapes - PE, 54290-000",N/A,N/A,+55 81 98907-4623,5,5,-8.1138959,-34.9634845,pernambuco
6,RioCell (Vendas de Peças para celulares em Prazeres),,ChIJSZ7Ihp7hqgcRqMwM-gvIjsA,"Av. Barreto de Menezes - Jaboatão dos Guararapes, PE, 54314-000",N/A,N/A,+55 81 99334-1995,5,1,-8.161329799999999,-34.927447799999996,pernambuco
7,Sou Celular & Informática,http://www.magazinevoce.com.br/soucelular,ChIJA8RnRecdqwcR-t301YsQb2w,"Av. São Paulo, 270 - COHAB, Recife - PE, 51330-390",N/A,N/A,+55 81 98972-4625,,,-8.1254779,-34.9576852,pernambuco
8,Beto Cell,,ChIJTcGliM8dqwcRs9p-v-Qaw6o,"Av. Belém De Judá, 205 - COHAB, Recife - PE, 51340-750",N/A,N/A,+55 81 99715-6365,3.9,16,-8.1132385,-34.9637408,pernambuco
9,Conserto's Smartphones Assistência Técnica e Personalizada - Ibura Recife,,ChIJe1rZNGUeqwcRbLitnSDESww,"Av. Dois Rios, 789 - Ibura de baixo, Recife - PE, 51230-000",N/A,N/A,+55 81 99692-9674,4.2,40,-8.114553899999999,-34.9395346,pernambuco
10,Deyvson Cell | Assistência Técnica e Acessória Celulares,https://www.instagram.com/lojasdeyvsoncell/,ChIJk6EHqHoeqwcRurQo-q_bqFc,"Av. Dois Rios, 949 - Ibura de baixo, Recife - PE, 51230-000",N/A,N/A,,4.7,91,-8.1157983,-34.940405399999996,pernambuco
11,Celulares e Eletrônicos,https://celulares-e-eletronicos.ueniweb.com/?utm_campaign=gmb,ChIJ9-Yq8EofqwcRPDYqF8qPc2s,"Av. Recife - Areias, Recife - PE, 50670-550",N/A,N/A,+55 81 99967-7661,4.5,2,-8.0897762,-34.9296939,pernambuco
12,Ruth Center,,ChIJfUhu_pnhqgcRjWv3cXNlBpg,"R. Dr. Júlio Maranhão Nona - Cajueiro Seco, Jaboatão dos Guararapes - PE, 54330-674",N/A,N/A,,4.8,12,-8.171987099999999,-34.933827799999996,pernambuco
13,iSafe,,ChIJIULsEQkfqwcR1TfseD6OyYM,"Rua Agente Ajolmar Correia, 170 - Ibura, Recife - PE, 51345-111",N/A,N/A,+55 81 99754-1105,5,11,-8.113173,-34.953030399999996,pernambuco
14,Brug Cell Consertos de Celulares,,ChIJl8qxUM3hqgcRxcMiH95RZIM,"Estr. da Batalha, 597 - Prazeres, Jaboatão dos Guararapes - PE, 54315-570",N/A,N/A,+55 81 99927-5635,4.7,6,-8.1563153,-34.9227938,pernambuco
15,4G CELULAR,https://www.instagram.com/4gcelularguara/,ChIJxSGphbnhqgcRYpoOGwAIhlI,"Av. Gen. Barreto de Menezes - Piedade, Jaboatão dos Guararapes - PE, 54410-100",N/A,N/A,+55 81 98332-0862,4,38,-8.1578382,-34.9341909,pernambuco
16,SonCell Assistência técnica especializada de celulares e acessórios,,ChIJY4vmHModqwcRn4H6a5Z4EAQ,"Av. Gov. Agamenon Magalhães, 972 - Cavaleiro, Jaboatão dos Guararapes - PE, 54120-635",N/A,N/A,+55 81 98536-1190,5,165,-8.092465299999999,-34.9726251,pernambuco
18,Central dos importados,,ChIJ3yfufiIdqwcRo6vDBlQD3pM,"Av. Barão de Lucena, 340 - Centro, Jaboatão dos Guararapes - PE, 54110-051",N/A,N/A,+55 81 98965-6513,4.4,31,-8.112247199999999,-35.0168031,pernambuco
19,Casa do Celular - Prazeres,http://www.casadocelular.com.br/,ChIJ39HFHYvhqgcR6QOutd9CWps,"R. Arão Lins de Andrade, 19 - Prazeres, Jaboatão dos Guararapes - PE, 54310-335",N/A,N/A,+55 81 97601-3361,3.3,47,-8.1632711,-34.9245132,pernambuco
20,Mania de Celular,https://www.instagram.com/maniadecelular_imports/,ChIJEe6czqThqgcREiTURsMFbxA,"R. Santo Elías, 179 - Cajueiro Seco, Jaboatão dos Guararapes - PE, 54330-230",N/A,N/A,+55 81 98830-8108,5,4,-8.164823799999999,-34.926030499999996,pernambuco
1,ReciTec - Assistencia Técnica de Celulares em Piedade,https://recitecassistencia.com.br/,ChIJDYT2xDvhqgcRJsgauTLYHKs,"Emp. Jardim, R. São Sebastião, 688 - Piedade, Jaboatão dos Guararapes - PE, 54410-500",N/A,N/A,+55 81 98538-7975,4.9,147,-8.1828292,-34.9245817,pernambuco
3,"Nagem Shopping Guararapes: Celulares, Eletros, Games, Jaboatão dos Guararapes",https://www.nagem.com.br/,ChIJkZjsYh3hqgcRqrvsrZHcQQg,"Av. Barreto de Menezes, 800 - Prazeres, Jaboatão dos Guararapes - PE, 54410-100",N/A,N/A,+55 800 080 2021,4.4,685,-8.1674045,-34.9185747,pernambuco
4,Deyvson Cell | Assistência e Acessórios Celulares,https://www.instagram.com/deyvsoncell.jaboatao/,ChIJ4WK9N3sdqwcRgZus3CYniVI,"dos G - R. Artur Xavier, 07 - Socorro, Jaboatão dos Guararapes - PE, 54150-190",N/A,N/A,+55 81 98219-6710,5,22,-8.1083105,-34.994278699999995,pernambuco
6,Assistência De Celulares Queiroz Cell,,ChIJHw5PWNkdqwcRdqTh4unl6Wk,"dentro do mercado público de - Cavaleiro, Jaboatão dos Guararapes - PE",N/A,N/A,+55 81 92002-7825,5,7,-8.0914319,-34.9715085,pernambuco
