Position,Title,Link,Place ID,Address,City,State,Phone,Rating,Reviews,Latitude,Longitude,Estado
3,Fernando Cell Assistência Técnica De Celular,,ChIJOeSgKQAzjgcR8bzLEHrFlnU,"R. Nilo Angelim, 2765 - Angelim, Teresina - PI, 64000-970",N/A,N/A,+55 86 99531-4562,,,-5.1880612,-42.7787468,piauí
15,Jy Cell,,ChIJmXHw6FIxjgcRvoVG2UpKGHA,"CA - Q84 L01 - Promorar, Teresina - PI, 64027-200",N/A,N/A,+55 86 98867-4383,,,-5.1477628,-42.784347,piauí
1,Smart Acessórios,,ChIJWdrLVGgzjgcRrCqbUBMRuxg,"Av. Ayrton Sena, 24 - Esplanada, Teresina - PI, 64039-480",N/A,N/A,+55 86 99908-8732,4.7,17,-5.1880624,-42.751494699999995,piauí
3,Drivan Tech Smartphones e acessórios,,ChIJV_ExZNgzjgcRmJV1DigYb4E,"Q-04 C-13 residencial Vamos Ver o Sol - Santo Antonio, Teresina - PI, 64033-518",N/A,N/A,+55 86 98839-4139,4.6,5,-5.1569806,-42.7584549,piauí
7,Magnata cell,,ChIJGyfLFQIzjgcRsMIMPbtP33w,"Avenida João Rangel Parente, Avenida principal, 5396 - Portal da Alegria, Teresina - PI, 64037-025",N/A,N/A,+55 86 99510-6079,5,61,-5.1944121999999995,-42.740203,piauí
9,Sul Cell Prime,https://drive.google.com/file/d/1ENWlXsMFb_1KOBI3M32iQtE0I1Vc8TXH/view,ChIJXV0moZ0xjgcR1pqB3GsYEWs,"Avenida Joaquim Nelson quadra 63 casa 17 Dirceu Arcoverde I, Teresina - PI, 64077-190",N/A,N/A,+55 86 99931-3349,5,376,-5.1019258,-42.7529624,piauí
10,Mult Cell,https://instagram.com/multcell_ph?igshid=ZjE2NGZiNDQ=,ChIJLxWcpdgzjgcREkTCusmssy8,"Av. Dr. Manoel Ayres Neto, 4255 - Santo Antonio, Teresina - PI, 64033-660",N/A,N/A,+55 86 99439-8491,4.6,24,-5.1565864999999995,-42.760689199999995,piauí
19,Rocha Importados celulares e acessórios,https://www.instagram.com/rochaimportadoscell/,ChIJYeiXIGM3jgcRD6v7DZmu4zY,"10 Galeria Center Dirceu - Av. José Francisco de Almeida Neto, Loja 4 - Dirceu, Teresina - PI, 64078-070",N/A,N/A,+55 86 99486-0828,5,1,-5.1050734,-42.756513,piauí
20,Rei Tech Celulares Assistência Têcnica E Acessórios,https://www.instagram.com/rei_tech1,ChIJfaklNow3jgcRBrtTdWCx1n4,"R. Acarape, 1147 - Distrito Industrial, Teresina - PI, 64027-426",N/A,N/A,,5,2,-5.1536896,-42.7911533,piauí
9,MARCUS CELL,,ChIJIU72AI03jgcRUtAdnNQmGz8,"Praça das Palmeiras - Saci, Teresina - PI, 64020-000",N/A,N/A,+55 86 99947-0251,5,2,-5.1378578,-42.8002063,piauí
15,Ultra Cell Assistencia Técnica,https://instagram.com/ultraacell?igshid=2dp2kgyjcxw,ChIJX8Feaw03jgcRp8j9j4Vxvvk,"Av. Prefeito Wall Ferraz, 8370 - Lourival Parente, Teresina - PI, 64040-840",N/A,N/A,+55 86 99549-4455,4.5,18,-5.1340618,-42.7905969,piauí
3,Tudão Cell & Importados loja,https://instagram.com/tudaocelleimportados?igshid=MzNlNGNkZWQ4Mg==,ChIJQXnkRdQxjgcR6LY46t9HQ0I,"Av. Dr. Manoel Ayres Neto, 5941 - Loja II - Santo Antonio, Teresina - PI, 64033-660",N/A,N/A,+55 86 99571-9599,5,18,-5.1428626,-42.7515451,piauí
