Position,Title,Link,Place ID,Address,City,State,Phone,Rating,Reviews,Latitude,Longitude,Estado
1,OpçãoCell,,ChIJRbVBqhdXsgcRpUznG7h7TOw,"R. Cabo Serafim Nunes Neto, 912 - Santos Reis, Parnamirim - RN, 59141-170",N/A,N/A,+55 84 3272-7567,4.5,42,-5.9171328,-35.278098,rio grande do norte
2,Casa Celular,,ChIJXVA_9zFSsgcR9227CXx9mds,"Macaíba - RN, 59280-115",N/A,N/A,,5,12,-5.8560789,-35.352387799999995,rio grande do norte
3,Nordeste celular,,ChIJVeufDb5XsgcR2ydBwIXz1Kk,"Perto do divino bar - R. Cabo Serafim Nunes Neto, 310 - Santos Reis, Parnamirim - RN, 59141-170",N/A,N/A,+55 84 99188-6688,5,13,-5.9170735,-35.2779436,rio grande do norte
4,Rilex Celulares Xiaomi,,ChIJTYGiFaBXsgcRgmAivalapYk,"Galeria - R. Cándido Martins Dos Santos, 703 - Loja F - Rosa dos Ventos, Parnamirim - RN, 59141-730",N/A,N/A,+55 84 99819-9697,4.8,13,-5.9233199999999995,-35.279212199999996,rio grande do norte
5,InforCell,http://www.instagram.com/inforcelltecnologia/,ChIJvT-bPTlXsgcRy9V1xWhNSTs,"Av. Pres. Getúlio Vargas - Centro, Parnamirim - RN, 59140-270",N/A,N/A,+55 84 98793-2543,5,1,-5.9157103,-35.2608521,rio grande do norte
6,Teocell Import’s,https://telepesquisa.com/rn/empresas/d/teocell-imports_2,ChIJUzQ4XxRXsgcRuGqGgSBUGqk,"R. Sadi Mendes, 860 - Santos Reis, Parnamirim - RN, 59146-110",N/A,N/A,+55 81 99827-9747,4.6,9,-5.914494599999999,-35.271968099999995,rio grande do norte
7,JP Cell,,ChIJ2wA1W1ZXsgcRuo6vzzjuzlI,"Av. Brg. Trompowsky, 992 - Monte Castelo, Parnamirim - RN, 59146-260",N/A,N/A,+55 84 99995-4417,5,35,-5.907076399999999,-35.2691771,rio grande do norte
8,Mundo Das Capas Celular,,ChIJmTUL9whXsgcRFtdZqmEzQ_o,"Centro, Parnamirim - RN, 59140-220",N/A,N/A,,4.3,20,-5.917898699999999,-35.2617299,rio grande do norte
9,Center Cell,,ChIJ4cbZ2wdXsgcR8FOcGHX7ppc,"Av. Pres. Getúlio Vargas, 17 - Santos Reis, Parnamirim - RN, 59150-000",N/A,N/A,+55 84 3272-4070,4.1,17,-5.9163844,-35.2612415,rio grande do norte
10,Barbalho Cell Assistência Técnica,,ChIJsaC6AQlXsgcRoEA4-eHnPkU,"R. Edgar Dantas, 68 - Centro, Parnamirim - RN, 59140-290",N/A,N/A,+55 84 99431-0718,4.2,56,-5.918569499999999,-35.261743599999996,rio grande do norte
11,Davyd Celulares,https://telepesquisa.com/rn/empresas/d/davyd-celulares,ChIJSVdCAclVsgcRZnpW2FEJPes,"R. Mira Mangue, 236f - Planalto, Natal - RN, 59073-150",N/A,N/A,,5,59,-5.8567198,-35.2502444,rio grande do norte
12,Jm Cell Assistência Tecnica,,ChIJtbNF5BdXsgcRY_k01pafNUM,"R. Manoel Monteiro Filho, 630A - Passagem de Areia, Parnamirim - RN, 59145-630",N/A,N/A,,,,-5.9156996,-35.2803003,rio grande do norte
13,TH cell,,ChIJsxJPxMxXsgcReapHxF-x8zM,"R. Ten. Aurélio, box 36 - Centro, Parnamirim - RN, 59140-260",N/A,N/A,+55 84 99155-1091,5,2,-5.9152137,-35.2606208,rio grande do norte
14,DM SERVIÇOS E ACESSORIOS,https://www.instagram.com/dm_servicoseacessorios/,ChIJ3xnXKwJXsgcRack8vnDtxIk,"GALERIA SHOPPING ELDORADO - Av. Brigadeiro Everaldo Breves, 158 - LOJA 02 - Centro, Parnamirim - RN, 59140-200",N/A,N/A,+55 84 99121-7461,5,1,-5.9180372,-35.2609874,rio grande do norte
15,Mb celulares,,ChIJ75v9qh5VsgcRNlRPnwUOXiw,"R. Santa Cristina, 41 - Felipe Camarão, Natal - RN, 59072-150",N/A,N/A,+55 84 98115-3549,5,13,-5.8237952,-35.2532861,rio grande do norte
16,Smarttech Assistência Técnica e Acessórios,,ChIJ75IYFRVXsgcRBpXXQB3_0j4,"R. Cándido Martins Dos Santos, 605 - Rosa dos Ventos, Parnamirim - RN, 59141-730",N/A,N/A,+55 84 99115-1420,5,4,-5.9226982,-35.279269899999996,rio grande do norte
17,Washington Cell,,ChIJ_wBa_ldXsgcRIgPsldQxpOY,"R. Cruzeiro do Sul, 1377 - Santos Reis, Parnamirim - RN, 59146-110",N/A,N/A,,4,4,-5.9163451,-35.273258399999996,rio grande do norte
18,Teocell Import's,,ChIJK58zqAlXsgcRQ7meHLqNWw4,"Av. Brigadeiro Everaldo Breves, 193 - Centro, Parnamirim - RN, 59140-200",N/A,N/A,+55 84 3272-3092,4.5,380,-5.9192696,-35.2616138,rio grande do norte
19,PARNAMIRIM CELL CELULAR,,ChIJWVri131XsgcRgamOCBUKikk,"Av. Brigadeiro Everaldo Breves, 184a - Centro, Parnamirim - RN, 59140-220",N/A,N/A,+55 84 98882-7088,,,-5.9189658,-35.2617518,rio grande do norte
20,Johny Cell,http://instagram.com/johnycell.oficial,ChIJi68KRbRXsgcRWDkrS-sflVk,"R. Pedro Bezerra Filho, 581B - Santos Reis, Parnamirim - RN, 59141-175",N/A,N/A,+55 84 99817-1353,5,13,-5.9173569,-35.273077,rio grande do norte
2,Edelson Cell,,ChIJh1sSobZVsgcRUO97RSAZlak,"R. Mira Mangue - Planalto, Natal - RN, 59073-230",N/A,N/A,,5,4,-5.8544972,-35.251433399999996,rio grande do norte
4,Mult Cell Prime,https://telepesquisa.com/rn/empresas/d/mult-cell-assistencia-e-acessorios-coophab,ChIJs7iRbyH5sgcRrdKCwDLjHl4,"Av. Eliza Branco Pereira dos Santos, 11 b - Cophab, Parnamirim - RN, 59158-160",N/A,N/A,+55 84 98158-6024,4.9,60,-5.923602499999999,-35.2029737,rio grande do norte
5,LOJA BERG CELL,https://www.facebook.com/pages/category/Mobile-Phone-Shop/BERG-CELL-1134188389957562/,ChIJ6yQtr19VsgcRqpkq4TJht4I,"RUA PARACATI N28A - Planalto, Natal - RN, 59073-100",N/A,N/A,+55 84 98757-1417,5,22,-5.8499921,-35.2535068,rio grande do norte
6,Elektron Celular,https://www.instagram.com/elektron_celular/,ChIJJ27fnP3_sgcRutj-OrOa6kc,"Shopping Dão Silveira Mall - Av. Prudente de Morais, 2700 - Loja 2A - Lagoa Seca, Natal - RN, 59022-305",N/A,N/A,+55 84 98828-5050,4.8,107,-5.8063256,-35.208417,rio grande do norte
7,Phone.com,https://lojasphone.com.br/,ChIJGz94Bcn_sgcR7ms_t_LdZEQ,"Phone.com - Av. Nevaldo Rocha, 3775 - Loja 167A - Tirol, Natal - RN, 59015-450",N/A,N/A,+55 84 3202-0025,4.3,151,-5.8121325,-35.2060026,rio grande do norte
8,DR. CELULAR,https://linktr.ee/_drcelular,ChIJh8eXIJL_sgcRnG-5FfBFUWE,"Alhambra Center - Av. Romualdo Galvão, 1691 - Loja 03 - Lagoa Nova, Natal - RN, 59056-165",N/A,N/A,+55 84 99656-3111,4.3,178,-5.8145994,-35.2089269,rio grande do norte
10,Hicell,,ChIJ9UKVAK5TsgcRsxJfdN9mZjQ,"R. Nair Mesquita, 30 - Centro, Macaíba - RN, 59280-211",N/A,N/A,+55 84 3271-3877,5,1,-5.8570981,-35.3520288,rio grande do norte
