latitude,longitude,zoom,estado,cidade
-3.8072,-38.6333,17,Ceará,Fortaleza
-3.8072,-38.624291,17,Ceará,Fortaleza
-3.8072,-38.615282,17,Ceará,Fortaleza
-3.8072,-38.606273,17,Ceará,Fortaleza
-3.8072,-38.597264,17,Ceará,Fortaleza
-3.8072,-38.588255,17,Ceará,Fortaleza
-3.8072,-38.579246,17,Ceará,Fortaleza
-3.8072,-38.570237,17,Ceará,Fortaleza
-3.8072,-38.561228,17,Ceará,Fortaleza
-3.8072,-38.552219,17,Ceará,Fortaleza
-3.8072,-38.54321,17,Ceará,Fortaleza
-3.8072,-38.534201,17,Ceará,Fortaleza
-3.8072,-38.525192,17,Ceará,Fortaleza
-3.8072,-38.516183,17,Ceará,Fortaleza
-3.8072,-38.507174,17,Ceará,Fortaleza
-3.8072,-38.498165,17,Ceará,Fortaleza
-3.8072,-38.489156,17,Ceará,Fortaleza
-3.8072,-38.480147,17,Ceará,Fortaleza
-3.8072,-38.471138,17,Ceará,Fortaleza
-3.8072,-38.462129,17,Ceará,Fortaleza
-3.798191,-38.6333,17,Ceará,Fortaleza
-3.798191,-38.624291,17,Ceará,Fortaleza
-3.798191,-38.615282,17,Ceará,Fortaleza
-3.798191,-38.606273,17,Ceará,Fortaleza
-3.798191,-38.597264,17,Ceará,Fortaleza
-3.798191,-38.588255,17,Ceará,Fortaleza
-3.798191,-38.579246,17,Ceará,Fortaleza
-3.798191,-38.570237,17,Ceará,Fortaleza
-3.798191,-38.561228,17,Ceará,Fortaleza
-3.798191,-38.552219,17,Ceará,Fortaleza
-3.798191,-38.54321,17,Ceará,Fortaleza
-3.798191,-38.534201,17,Ceará,Fortaleza
-3.798191,-38.525192,17,Ceará,Fortaleza
-3.798191,-38.516183,17,Ceará,Fortaleza
-3.798191,-38.507174,17,Ceará,Fortaleza
-3.798191,-38.498165,17,Ceará,Fortaleza
-3.798191,-38.489156,17,Ceará,Fortaleza
-3.798191,-38.480147,17,Ceará,Fortaleza
-3.798191,-38.471138,17,Ceará,Fortaleza
-3.798191,-38.462129,17,Ceará,Fortaleza
-3.789182,-38.6333,17,Ceará,Fortaleza
-3.789182,-38.624291,17,Ceará,Fortaleza
-3.789182,-38.615282,17,Ceará,Fortaleza
-3.789182,-38.606273,17,Ceará,Fortaleza
-3.789182,-38.597264,17,Ceará,Fortaleza
-3.789182,-38.588255,17,Ceará,Fortaleza
-3.789182,-38.579246,17,Ceará,Fortaleza
