latitude,longitude,zoom,estado
-2.6291,-44.327855,14,Maranhão
-2.6291,-44.28281,14,Maranhão
-2.6291,-44.237765,14,Maranhão
-2.584055,-44.327855,14,Maranhão
-2.584055,-44.28281,14,Maranhão
-2.584055,-44.237765,14,Maranhão
-2.53901,-44.28281,14,Maranhão
-2.53901,-44.237765,14,Maranhão
-2.493965,-44.28281,14,Maranhão
-2.493965,-44.237765,14,Maranhão
-5.6096,-47.47941,14,Maranhão
-5.6096,-47.434365,14,Maranhão
-5.564555,-47.47941,14,Maranhão
-5.564555,-47.434365,14,Maranhão
-5.51951,-47.524455,14,Maranhão
-5.51951,-47.47941,14,Maranhão
-5.51951,-47.434365,14,Maranhão
-5.474465,-47.524455,14,Maranhão
-5.474465,-47.47941,14,Maranhão
-5.474465,-47.434365,14,Maranhão
-2.6379,-44.1439,14,Maranhão
-2.592855,-44.1439,14,Maranhão
-2.54781,-44.1439,14,Maranhão
-2.54781,-44.098855,14,Maranhão
-2.54781,-44.05381,14,Maranhão
-2.502765,-44.1439,14,Maranhão
-2.502765,-44.098855,14,Maranhão
-2.502765,-44.05381,14,Maranhão
-5.1843,-42.9263,14,Maranhão
-5.1843,-42.881255,14,Maranhão
-5.1843,-42.83621,14,Maranhão
-5.139255,-42.9263,14,Maranhão
-5.139255,-42.881255,14,Maranhão
-5.139255,-42.83621,14,Maranhão
-5.09421,-42.9263,14,Maranhão
-5.09421,-42.881255,14,Maranhão
-5.09421,-42.83621,14,Maranhão
-5.049165,-42.9263,14,Maranhão
-5.049165,-42.881255,14,Maranhão
-10.07832,-46.412858,13,Maranhão
-10.07832,-46.232677,13,Maranhão
-10.07832,-46.052497,13,Maranhão
-9.89814,-46.412858,13,Maranhão
-9.89814,-46.232677,13,Maranhão
-9.89814,-46.052497,13,Maranhão
-9.89814,-45.872317,13,Maranhão
-9.717959,-46.593038,13,Maranhão
-9.717959,-46.412858,13,Maranhão
-9.717959,-46.232677,13,Maranhão
-9.717959,-46.052497,13,Maranhão
-9.717959,-45.872317,13,Maranhão
-9.537779,-46.412858,13,Maranhão
-9.537779,-46.232677,13,Maranhão
-9.537779,-46.052497,13,Maranhão
-9.537779,-45.872317,13,Maranhão
-9.357599,-46.773218,13,Maranhão
-9.357599,-46.593038,13,Maranhão
-9.357599,-46.412858,13,Maranhão
-9.357599,-46.232677,13,Maranhão
-9.357599,-46.052497,13,Maranhão
-9.177419,-46.773218,13,Maranhão
-9.177419,-46.593038,13,Maranhão
-9.177419,-46.412858,13,Maranhão
-9.177419,-46.232677,13,Maranhão
-9.177419,-46.052497,13,Maranhão
-8.997239,-46.953398,13,Maranhão
-8.997239,-46.773218,13,Maranhão
-8.997239,-46.593038,13,Maranhão
-8.997239,-46.412858,13,Maranhão
-8.997239,-46.232677,13,Maranhão
-8.997239,-46.052497,13,Maranhão
-8.817059,-46.773218,13,Maranhão
-8.817059,-46.593038,13,Maranhão
-8.817059,-46.412858,13,Maranhão
-8.817059,-46.232677,13,Maranhão
-8.817059,-46.052497,13,Maranhão
-8.636878,-46.773218,13,Maranhão
-8.636878,-46.593038,13,Maranhão
-8.636878,-46.412858,13,Maranhão
-8.636878,-46.232677,13,Maranhão
-8.636878,-46.052497,13,Maranhão
-8.636878,-45.872317,13,Maranhão
-8.456698,-46.773218,13,Maranhão
-8.456698,-46.593038,13,Maranhão
-8.456698,-46.412858,13,Maranhão
-8.456698,-46.232677,13,Maranhão
-8.456698,-46.052497,13,Maranhão
-8.456698,-45.872317,13,Maranhão
-8.276518,-46.412858,13,Maranhão
-8.276518,-46.232677,13,Maranhão
-8.276518,-46.052497,13,Maranhão
-8.276518,-45.872317,13,Maranhão
-8.276518,-45.692137,13,Maranhão
-8.096338,-46.412858,13,Maranhão
-8.096338,-46.232677,13,Maranhão
-8.096338,-46.052497,13,Maranhão
-8.096338,-45.872317,13,Maranhão
-8.096338,-45.692137,13,Maranhão
-7.916158,-46.953398,13,Maranhão
-7.916158,-46.773218,13,Maranhão
-7.916158,-46.412858,13,Maranhão
-7.916158,-46.232677,13,Maranhão
-7.916158,-46.052497,13,Maranhão
-7.916158,-45.872317,13,Maranhão
-7.916158,-45.692137,13,Maranhão
-7.735977,-47.133578,13,Maranhão
-7.735977,-46.953398,13,Maranhão
-7.735977,-46.773218,13,Maranhão
-7.735977,-46.593038,13,Maranhão
-7.735977,-46.412858,13,Maranhão
-7.735977,-46.232677,13,Maranhão
-7.735977,-46.052497,13,Maranhão
-7.735977,-45.872317,13,Maranhão
-7.735977,-45.692137,13,Maranhão
-7.735977,-45.511957,13,Maranhão
-7.555797,-47.313759,13,Maranhão
-7.555797,-47.133578,13,Maranhão
-7.555797,-46.953398,13,Maranhão
-7.555797,-46.773218,13,Maranhão
-7.555797,-46.593038,13,Maranhão
-7.555797,-46.412858,13,Maranhão
-7.555797,-46.232677,13,Maranhão
-7.555797,-46.052497,13,Maranhão
-7.555797,-45.872317,13,Maranhão
-7.555797,-45.692137,13,Maranhão
-7.555797,-45.511957,13,Maranhão
-7.555797,-45.331777,13,Maranhão
-7.375617,-47.493939,13,Maranhão
-7.375617,-47.313759,13,Maranhão
-7.375617,-47.133578,13,Maranhão
-7.375617,-46.953398,13,Maranhão
-7.375617,-46.773218,13,Maranhão
-7.375617,-46.593038,13,Maranhão
-7.375617,-46.412858,13,Maranhão
-7.375617,-46.232677,13,Maranhão
-7.375617,-46.052497,13,Maranhão
-7.375617,-45.872317,13,Maranhão
-7.375617,-45.692137,13,Maranhão
-7.375617,-45.511957,13,Maranhão
-7.375617,-45.331777,13,Maranhão
-7.375617,-45.151596,13,Maranhão
-7.375617,-44.971416,13,Maranhão
-7.195437,-47.674119,13,Maranhão
-7.195437,-47.493939,13,Maranhão
-7.195437,-47.313759,13,Maranhão
-7.195437,-47.133578,13,Maranhão
-7.195437,-46.953398,13,Maranhão
-7.195437,-46.773218,13,Maranhão
-7.195437,-46.593038,13,Maranhão
-7.195437,-46.412858,13,Maranhão
-7.195437,-46.232677,13,Maranhão
-7.195437,-46.052497,13,Maranhão
-7.195437,-45.872317,13,Maranhão
-7.195437,-45.692137,13,Maranhão
-7.195437,-45.511957,13,Maranhão
-7.195437,-45.331777,13,Maranhão
-7.195437,-45.151596,13,Maranhão
-7.195437,-44.971416,13,Maranhão
-7.195437,-44.791236,13,Maranhão
-7.195437,-44.611056,13,Maranhão
-7.015257,-47.493939,13,Maranhão
-7.015257,-47.313759,13,Maranhão
-7.015257,-47.133578,13,Maranhão
-7.015257,-46.953398,13,Maranhão
-7.015257,-46.773218,13,Maranhão
-7.015257,-46.593038,13,Maranhão
-7.015257,-46.412858,13,Maranhão
-7.015257,-46.232677,13,Maranhão
-7.015257,-46.052497,13,Maranhão
-7.015257,-45.872317,13,Maranhão
-7.015257,-45.692137,13,Maranhão
-7.015257,-45.511957,13,Maranhão
-7.015257,-45.331777,13,Maranhão
-7.015257,-45.151596,13,Maranhão
-7.015257,-44.971416,13,Maranhão
-7.015257,-44.791236,13,Maranhão
-7.015257,-44.611056,13,Maranhão
-7.015257,-44.430876,13,Maranhão
-7.015257,-44.250695,13,Maranhão
-6.835077,-47.493939,13,Maranhão
-6.835077,-47.313759,13,Maranhão
-6.835077,-47.133578,13,Maranhão
-6.835077,-46.953398,13,Maranhão
-6.835077,-46.773218,13,Maranhão
-6.835077,-46.593038,13,Maranhão
-6.835077,-46.412858,13,Maranhão
-6.835077,-46.232677,13,Maranhão
-6.835077,-46.052497,13,Maranhão
-6.835077,-45.872317,13,Maranhão
-6.835077,-45.692137,13,Maranhão
-6.835077,-45.511957,13,Maranhão
-6.835077,-45.331777,13,Maranhão
-6.835077,-45.151596,13,Maranhão
-6.835077,-44.971416,13,Maranhão
-6.835077,-44.791236,13,Maranhão
-6.835077,-44.611056,13,Maranhão
-6.835077,-44.430876,13,Maranhão
-6.835077,-44.250695,13,Maranhão
-6.654896,-47.313759,13,Maranhão
-6.654896,-47.133578,13,Maranhão
-6.654896,-46.953398,13,Maranhão
-6.654896,-46.773218,13,Maranhão
-6.654896,-46.593038,13,Maranhão
-6.654896,-46.412858,13,Maranhão
-6.654896,-46.232677,13,Maranhão
-6.654896,-46.052497,13,Maranhão
-6.654896,-45.872317,13,Maranhão
-6.654896,-45.692137,13,Maranhão
-6.654896,-45.511957,13,Maranhão
-6.654896,-45.331777,13,Maranhão
-6.654896,-45.151596,13,Maranhão
-6.654896,-44.971416,13,Maranhão
-6.654896,-44.791236,13,Maranhão
-6.654896,-44.611056,13,Maranhão
-6.654896,-44.430876,13,Maranhão
-6.654896,-44.250695,13,Maranhão
-6.654896,-44.070515,13,Maranhão
-6.654896,-43.890335,13,Maranhão
-6.654896,-43.710155,13,Maranhão
-6.654896,-43.529975,13,Maranhão
-6.654896,-43.349795,13,Maranhão
-6.654896,-43.169614,13,Maranhão
-6.654896,-42.989434,13,Maranhão
-6.474716,-47.313759,13,Maranhão
-6.474716,-47.133578,13,Maranhão
-6.474716,-46.953398,13,Maranhão
-6.474716,-46.773218,13,Maranhão
-6.474716,-46.593038,13,Maranhão
-6.474716,-46.412858,13,Maranhão
-6.474716,-46.232677,13,Maranhão
-6.474716,-46.052497,13,Maranhão
-6.474716,-45.872317,13,Maranhão
-6.474716,-45.692137,13,Maranhão
-6.474716,-45.511957,13,Maranhão
-6.474716,-45.331777,13,Maranhão
-6.474716,-45.151596,13,Maranhão
-6.474716,-44.971416,13,Maranhão
-6.474716,-44.791236,13,Maranhão
-6.474716,-44.611056,13,Maranhão
-6.474716,-44.430876,13,Maranhão
-6.474716,-44.250695,13,Maranhão
-6.474716,-44.070515,13,Maranhão
-6.474716,-43.890335,13,Maranhão
-6.474716,-43.710155,13,Maranhão
-6.474716,-43.529975,13,Maranhão
-6.474716,-43.349795,13,Maranhão
-6.474716,-43.169614,13,Maranhão
-6.474716,-42.989434,13,Maranhão
-6.294536,-47.313759,13,Maranhão
-6.294536,-47.133578,13,Maranhão
-6.294536,-46.953398,13,Maranhão
-6.294536,-46.773218,13,Maranhão
-6.294536,-46.593038,13,Maranhão
-6.294536,-46.412858,13,Maranhão
-6.294536,-46.232677,13,Maranhão
-6.294536,-46.052497,13,Maranhão
-6.294536,-45.872317,13,Maranhão
-6.294536,-45.692137,13,Maranhão
-6.294536,-45.511957,13,Maranhão
-6.294536,-45.331777,13,Maranhão
-6.294536,-45.151596,13,Maranhão
-6.294536,-44.971416,13,Maranhão
-6.294536,-44.791236,13,Maranhão
-6.294536,-44.611056,13,Maranhão
-6.294536,-44.430876,13,Maranhão
-6.294536,-44.250695,13,Maranhão
-6.294536,-44.070515,13,Maranhão
-6.294536,-43.890335,13,Maranhão
-6.294536,-43.710155,13,Maranhão
-6.294536,-43.529975,13,Maranhão
-6.294536,-43.349795,13,Maranhão
-6.294536,-43.169614,13,Maranhão
-6.294536,-42.989434,13,Maranhão
-6.114356,-47.313759,13,Maranhão
-6.114356,-47.133578,13,Maranhão
-6.114356,-46.953398,13,Maranhão
-6.114356,-46.773218,13,Maranhão
-6.114356,-46.593038,13,Maranhão
-6.114356,-46.412858,13,Maranhão
-6.114356,-46.232677,13,Maranhão
-6.114356,-46.052497,13,Maranhão
-6.114356,-45.872317,13,Maranhão
-6.114356,-45.692137,13,Maranhão
-6.114356,-45.511957,13,Maranhão
-6.114356,-45.331777,13,Maranhão
-6.114356,-45.151596,13,Maranhão
-6.114356,-44.971416,13,Maranhão
-6.114356,-44.791236,13,Maranhão
-6.114356,-44.611056,13,Maranhão
-6.114356,-44.430876,13,Maranhão
-6.114356,-44.250695,13,Maranhão
-6.114356,-44.070515,13,Maranhão
-6.114356,-43.890335,13,Maranhão
-6.114356,-43.710155,13,Maranhão
-6.114356,-43.529975,13,Maranhão
-6.114356,-43.349795,13,Maranhão
-6.114356,-43.169614,13,Maranhão
-5.934176,-47.313759,13,Maranhão
-5.934176,-47.133578,13,Maranhão
-5.934176,-46.953398,13,Maranhão
-5.934176,-46.773218,13,Maranhão
-5.934176,-46.593038,13,Maranhão
-5.934176,-46.412858,13,Maranhão
-5.934176,-46.232677,13,Maranhão
-5.934176,-46.052497,13,Maranhão
-5.934176,-45.872317,13,Maranhão
-5.934176,-45.692137,13,Maranhão
-5.934176,-45.511957,13,Maranhão
-5.934176,-45.331777,13,Maranhão
-5.934176,-45.151596,13,Maranhão
-5.934176,-44.971416,13,Maranhão
-5.934176,-44.791236,13,Maranhão
-5.934176,-44.611056,13,Maranhão
-5.934176,-44.430876,13,Maranhão
-5.934176,-44.250695,13,Maranhão
-5.934176,-44.070515,13,Maranhão
-5.934176,-43.890335,13,Maranhão
-5.934176,-43.710155,13,Maranhão
-5.934176,-43.529975,13,Maranhão
-5.934176,-43.349795,13,Maranhão
-5.934176,-43.169614,13,Maranhão
-5.753995,-47.313759,13,Maranhão
-5.753995,-47.133578,13,Maranhão
-5.753995,-46.953398,13,Maranhão
-5.753995,-46.773218,13,Maranhão
-5.753995,-46.593038,13,Maranhão
-5.753995,-46.412858,13,Maranhão
-5.753995,-46.232677,13,Maranhão
-5.753995,-46.052497,13,Maranhão
-5.753995,-45.872317,13,Maranhão
-5.753995,-45.692137,13,Maranhão
-5.753995,-45.511957,13,Maranhão
-5.753995,-45.331777,13,Maranhão
-5.753995,-45.151596,13,Maranhão
-5.753995,-44.971416,13,Maranhão
-5.753995,-44.791236,13,Maranhão
-5.753995,-44.611056,13,Maranhão
-5.753995,-44.430876,13,Maranhão
-5.753995,-44.250695,13,Maranhão
-5.753995,-44.070515,13,Maranhão
-5.753995,-43.890335,13,Maranhão
-5.753995,-43.710155,13,Maranhão
-5.753995,-43.529975,13,Maranhão
-5.753995,-43.349795,13,Maranhão
-5.753995,-43.169614,13,Maranhão
-5.573815,-47.313759,13,Maranhão
-5.573815,-47.133578,13,Maranhão
-5.573815,-46.953398,13,Maranhão
-5.573815,-46.773218,13,Maranhão
-5.573815,-46.593038,13,Maranhão
-5.573815,-46.412858,13,Maranhão
-5.573815,-46.232677,13,Maranhão
-5.573815,-46.052497,13,Maranhão
-5.573815,-45.872317,13,Maranhão
-5.573815,-45.692137,13,Maranhão
-5.573815,-45.511957,13,Maranhão
-5.573815,-45.331777,13,Maranhão
-5.573815,-45.151596,13,Maranhão
-5.573815,-44.971416,13,Maranhão
-5.573815,-44.791236,13,Maranhão
-5.573815,-44.611056,13,Maranhão
-5.573815,-44.430876,13,Maranhão
-5.573815,-44.250695,13,Maranhão
-5.573815,-44.070515,13,Maranhão
-5.573815,-43.890335,13,Maranhão
-5.573815,-43.710155,13,Maranhão
-5.573815,-43.529975,13,Maranhão
-5.573815,-43.349795,13,Maranhão
-5.573815,-43.169614,13,Maranhão
-5.393635,-47.674119,13,Maranhão
-5.393635,-47.313759,13,Maranhão
-5.393635,-47.133578,13,Maranhão
-5.393635,-46.953398,13,Maranhão
-5.393635,-46.773218,13,Maranhão
-5.393635,-46.593038,13,Maranhão
-5.393635,-46.412858,13,Maranhão
-5.393635,-46.232677,13,Maranhão
-5.393635,-46.052497,13,Maranhão
-5.393635,-45.872317,13,Maranhão
-5.393635,-45.692137,13,Maranhão
-5.393635,-45.511957,13,Maranhão
-5.393635,-45.331777,13,Maranhão
-5.393635,-45.151596,13,Maranhão
-5.393635,-44.971416,13,Maranhão
-5.393635,-44.791236,13,Maranhão
-5.393635,-44.611056,13,Maranhão
-5.393635,-44.430876,13,Maranhão
-5.393635,-44.250695,13,Maranhão
-5.393635,-44.070515,13,Maranhão
-5.393635,-43.890335,13,Maranhão
-5.393635,-43.710155,13,Maranhão
-5.393635,-43.529975,13,Maranhão
-5.393635,-43.349795,13,Maranhão
-5.393635,-43.169614,13,Maranhão
-5.393635,-42.989434,13,Maranhão
-5.213455,-48.57502,13,Maranhão
-5.213455,-48.214659,13,Maranhão
-5.213455,-48.034479,13,Maranhão
-5.213455,-47.854299,13,Maranhão
-5.213455,-47.674119,13,Maranhão
-5.213455,-47.493939,13,Maranhão
-5.213455,-47.313759,13,Maranhão
-5.213455,-47.133578,13,Maranhão
-5.213455,-46.953398,13,Maranhão
-5.213455,-46.773218,13,Maranhão
-5.213455,-46.593038,13,Maranhão
-5.213455,-46.412858,13,Maranhão
-5.213455,-46.232677,13,Maranhão
-5.213455,-46.052497,13,Maranhão
-5.213455,-45.872317,13,Maranhão
-5.213455,-45.692137,13,Maranhão
-5.213455,-45.511957,13,Maranhão
-5.213455,-45.331777,13,Maranhão
-5.213455,-45.151596,13,Maranhão
-5.213455,-44.971416,13,Maranhão
-5.213455,-44.791236,13,Maranhão
-5.213455,-44.611056,13,Maranhão
-5.213455,-44.430876,13,Maranhão
-5.213455,-44.250695,13,Maranhão
-5.213455,-44.070515,13,Maranhão
-5.213455,-43.890335,13,Maranhão
-5.213455,-43.710155,13,Maranhão
-5.213455,-43.529975,13,Maranhão
-5.213455,-43.349795,13,Maranhão
-5.213455,-43.169614,13,Maranhão
-5.033275,-48.214659,13,Maranhão
-5.033275,-48.034479,13,Maranhão
