latitude,longitude,zoom,estado,cidade
-2.6291,-44.3729,17,Maranhão,São Luís
-2.6291,-44.363891,17,Maranhão,São Luís
-2.6291,-44.354882,17,Maranhão,São Luís
-2.6291,-44.345873,17,Maranhão,São Luís
-2.6291,-44.336864,17,Maranhão,São Luís
-2.6291,-44.327855,17,Maranhão,São Luís
-2.6291,-44.318846,17,Maranhão,São Luís
-2.6291,-44.309837,17,Maranhão,São Luís
-2.6291,-44.300828,17,Maranhão,São Luís
-2.6291,-44.291819,17,Maranhão,São Luís
-2.6291,-44.28281,17,Maranhão,São Luís
-2.6291,-44.273801,17,Maranhão,São Luís
-2.6291,-44.264792,17,Maranhão,São Luís
-2.6291,-44.255783,17,Maranhão,São Luís
-2.6291,-44.246774,17,Maranhão,São Luís
-2.6291,-44.237765,17,Maranhão,São Luís
-2.6291,-44.228756,17,Maranhão,São Luís
-2.6291,-44.219747,17,Maranhão,São Luís
-2.6291,-44.210738,17,Maranhão,São Luís
-2.6291,-44.201729,17,Maranhão,São Luís
-2.620091,-44.3729,17,Maranhão,São Luís
-2.620091,-44.363891,17,Maranhão,São Luís
-2.620091,-44.354882,17,Maranhão,São Luís
-2.620091,-44.345873,17,Maranhão,São Luís
-2.620091,-44.336864,17,Maranhão,São Luís
-2.620091,-44.327855,17,Maranhão,São Luís
-2.620091,-44.318846,17,Maranhão,São Luís
-2.620091,-44.309837,17,Maranhão,São Luís
-2.620091,-44.300828,17,Maranhão,São Luís
-2.620091,-44.291819,17,Maranhão,São Luís
-2.620091,-44.28281,17,Maranhão,São Luís
-2.620091,-44.273801,17,Maranhão,São Luís
-2.620091,-44.264792,17,Maranhão,São Luís
-2.620091,-44.255783,17,Maranhão,São Luís
-2.620091,-44.246774,17,Maranhão,São Luís
-2.620091,-44.237765,17,Maranhão,São Luís
-2.620091,-44.228756,17,Maranhão,São Luís
-2.620091,-44.219747,17,Maranhão,São Luís
-2.620091,-44.210738,17,Maranhão,São Luís
-2.620091,-44.201729,17,Maranhão,São Luís
-2.611082,-44.3729,17,Maranhão,São Luís
-2.611082,-44.363891,17,Maranhão,São Luís
-2.611082,-44.354882,17,Maranhão,São Luís
-2.611082,-44.345873,17,Maranhão,São Luís
-2.611082,-44.336864,17,Maranhão,São Luís
-2.611082,-44.327855,17,Maranhão,São Luís
-2.611082,-44.318846,17,Maranhão,São Luís
-2.611082,-44.309837,17,Maranhão,São Luís
-2.611082,-44.300828,17,Maranhão,São Luís
-2.611082,-44.291819,17,Maranhão,São Luís
-2.611082,-44.28281,17,Maranhão,São Luís
-2.611082,-44.273801,17,Maranhão,São Luís
-2.611082,-44.264792,17,Maranhão,São Luís
-2.611082,-44.255783,17,Maranhão,São Luís
-2.611082,-44.246774,17,Maranhão,São Luís
-2.611082,-44.237765,17,Maranhão,São Luís
-2.611082,-44.228756,17,Maranhão,São Luís
-2.611082,-44.219747,17,Maranhão,São Luís
-2.611082,-44.210738,17,Maranhão,São Luís
-2.611082,-44.201729,17,Maranhão,São Luís
-2.602073,-44.3729,17,Maranhão,São Luís
-2.602073,-44.363891,17,Maranhão,São Luís
-2.602073,-44.354882,17,Maranhão,São Luís
-2.602073,-44.345873,17,Maranhão,São Luís
-2.602073,-44.336864,17,Maranhão,São Luís
-2.602073,-44.327855,17,Maranhão,São Luís
-2.602073,-44.318846,17,Maranhão,São Luís
-2.602073,-44.309837,17,Maranhão,São Luís
-2.602073,-44.300828,17,Maranhão,São Luís
-2.602073,-44.291819,17,Maranhão,São Luís
-2.602073,-44.28281,17,Maranhão,São Luís
-2.602073,-44.273801,17,Maranhão,São Luís
-2.602073,-44.264792,17,Maranhão,São Luís
-2.602073,-44.255783,17,Maranhão,São Luís
-2.602073,-44.246774,17,Maranhão,São Luís
-2.602073,-44.237765,17,Maranhão,São Luís
-2.602073,-44.228756,17,Maranhão,São Luís
-2.602073,-44.219747,17,Maranhão,São Luís
-2.602073,-44.210738,17,Maranhão,São Luís
-2.602073,-44.201729,17,Maranhão,São Luís
-2.593064,-44.3729,17,Maranhão,São Luís
-2.593064,-44.363891,17,Maranhão,São Luís
-2.593064,-44.354882,17,Maranhão,São Luís
-2.593064,-44.345873,17,Maranhão,São Luís
-2.593064,-44.336864,17,Maranhão,São Luís
-2.593064,-44.327855,17,Maranhão,São Luís
-2.593064,-44.318846,17,Maranhão,São Luís
-2.593064,-44.309837,17,Maranhão,São Luís
-2.593064,-44.300828,17,Maranhão,São Luís
-2.593064,-44.291819,17,Maranhão,São Luís
-2.593064,-44.28281,17,Maranhão,São Luís
-2.593064,-44.273801,17,Maranhão,São Luís
-2.593064,-44.264792,17,Maranhão,São Luís
-2.593064,-44.255783,17,Maranhão,São Luís
-2.593064,-44.246774,17,Maranhão,São Luís
-2.593064,-44.237765,17,Maranhão,São Luís
-2.593064,-44.228756,17,Maranhão,São Luís
-2.593064,-44.219747,17,Maranhão,São Luís
-2.593064,-44.210738,17,Maranhão,São Luís
-2.593064,-44.201729,17,Maranhão,São Luís
-2.584055,-44.3729,17,Maranhão,São Luís
-2.584055,-44.363891,17,Maranhão,São Luís
-2.584055,-44.354882,17,Maranhão,São Luís
-2.584055,-44.345873,17,Maranhão,São Luís
-2.584055,-44.336864,17,Maranhão,São Luís
-2.584055,-44.327855,17,Maranhão,São Luís
-2.584055,-44.318846,17,Maranhão,São Luís
-2.584055,-44.309837,17,Maranhão,São Luís
-2.584055,-44.300828,17,Maranhão,São Luís
-2.584055,-44.291819,17,Maranhão,São Luís
-2.584055,-44.28281,17,Maranhão,São Luís
-2.584055,-44.273801,17,Maranhão,São Luís
-2.584055,-44.264792,17,Maranhão,São Luís
-2.584055,-44.255783,17,Maranhão,São Luís
-2.584055,-44.246774,17,Maranhão,São Luís
-2.584055,-44.237765,17,Maranhão,São Luís
-2.584055,-44.228756,17,Maranhão,São Luís
-2.584055,-44.219747,17,Maranhão,São Luís
-2.584055,-44.210738,17,Maranhão,São Luís
-2.584055,-44.201729,17,Maranhão,São Luís
-2.575046,-44.3729,17,Maranhão,São Luís
-2.575046,-44.363891,17,Maranhão,São Luís
-2.575046,-44.354882,17,Maranhão,São Luís
-2.575046,-44.345873,17,Maranhão,São Luís
-2.575046,-44.336864,17,Maranhão,São Luís
-2.575046,-44.327855,17,Maranhão,São Luís
-2.575046,-44.318846,17,Maranhão,São Luís
-2.575046,-44.309837,17,Maranhão,São Luís
-2.575046,-44.300828,17,Maranhão,São Luís
-2.575046,-44.291819,17,Maranhão,São Luís
-2.575046,-44.28281,17,Maranhão,São Luís
-2.575046,-44.273801,17,Maranhão,São Luís
-2.575046,-44.264792,17,Maranhão,São Luís
-2.575046,-44.255783,17,Maranhão,São Luís
-2.575046,-44.246774,17,Maranhão,São Luís
-2.575046,-44.237765,17,Maranhão,São Luís
-2.575046,-44.228756,17,Maranhão,São Luís
-2.575046,-44.219747,17,Maranhão,São Luís
-2.575046,-44.210738,17,Maranhão,São Luís
-2.575046,-44.201729,17,Maranhão,São Luís
-2.566037,-44.3729,17,Maranhão,São Luís
-2.566037,-44.363891,17,Maranhão,São Luís
-2.566037,-44.354882,17,Maranhão,São Luís
-2.566037,-44.345873,17,Maranhão,São Luís
-2.566037,-44.336864,17,Maranhão,São Luís
-2.566037,-44.327855,17,Maranhão,São Luís
-2.566037,-44.318846,17,Maranhão,São Luís
-2.566037,-44.309837,17,Maranhão,São Luís
-2.566037,-44.300828,17,Maranhão,São Luís
-2.566037,-44.291819,17,Maranhão,São Luís
-2.566037,-44.28281,17,Maranhão,São Luís
-2.566037,-44.273801,17,Maranhão,São Luís
-2.566037,-44.264792,17,Maranhão,São Luís
-2.566037,-44.255783,17,Maranhão,São Luís
-2.566037,-44.246774,17,Maranhão,São Luís
-2.566037,-44.237765,17,Maranhão,São Luís
-2.566037,-44.228756,17,Maranhão,São Luís
-2.566037,-44.219747,17,Maranhão,São Luís
-2.566037,-44.210738,17,Maranhão,São Luís
-2.566037,-44.201729,17,Maranhão,São Luís
-2.557028,-44.3729,17,Maranhão,São Luís
